"Topic: Labor Force",,,,,,
"Geographic Extent: City of Boston",,,,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2025",,,,,,
,,,,,,
"Source: U.S. Census Bureau, 1950-2000 Decennial Censuses, 2008-2012 American Community Survey, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates",,,,,,
"Download type: geographically disaggregated",,,,,,
,,,,,,
"GEOID","YEAR","Male in labor force","Male not in labor force","Female in labor force","Female not in labor force","Female labor force participation rate (16+)"
"Allston","1950","5921","2078","3606","5379","0.401335559265442"
"Allston","1960","5403","1852","4050","4023","0.501672240802676"
"Allston","1970","4629","3173","5221","3720","0.583939156693882"
"Allston","1980","5496","3473","5605","3844","0.593184463964441"
"Allston","1990","7349","3565","6412","3435","0.651162790697674"
"Allston","2000","7041","3841","6495","4207","0.606895907307045"
"Allston","2010","8223","3583","6292","5230","0.546085749001909"
"Allston","2020","8879","4270","10032","5305","0.654114955341621"
"Allston","2025","9940","4802","10505","5136","0.671606421773859"
"Back Bay","1950","5275","3018","5653","5937","0.487748058671268"
"Back Bay","1960","5372","1875","6564","3553","0.648808935455174"
"Back Bay","1970","5304","1979","6314","3842","0.62170145726664"
"Back Bay","1980","6331","2327","5897","3290","0.6418852726679"
"Back Bay","1990","5846","2075","5908","2370","0.713698961101715"
"Back Bay","2000","6662","1457","5433","2530","0.682280547532337"
"Back Bay","2010","5994","1846","5067","3169","0.615225837785333"
"Back Bay","2020","6062","2378","6050","3761","0.616687881398255"
"Back Bay","2025","6176","2503","5894","3548","0.624197527655566"
"Beacon Hill","1950","4052","1805","3660","3210","0.532751091703057"
"Beacon Hill","1960","4108","1136","3388","2245","0.60145570743831"
"Beacon Hill","1970","3639","835","3562","1630","0.686055469953775"
"Beacon Hill","1980","3992","1103","3448","1414","0.709173179761415"
"Beacon Hill","1990","3393","799","3386","1085","0.757324983225229"
"Beacon Hill","2000","3199","928","3138","1201","0.723208112468311"
