"Topic: Living Arrangements",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2025",,,,
,,,,
"Source: U.S. Census Bureau, 1950-2010 Decennial Censuses, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","Household population","Group quarters population","Average household size"
"Allston","1950","20736","25","3.23646012174184"
"Allston","1960","17929","1147","2.64478536657324"
"Allston","1970","16992","2605","2.28479225494151"
"Allston","1980","17788","2544","2.11837561033703"
"Allston","1990","20555","2500","2.31788452864231"
"Allston","2000","20709","2807","2.25957446808511"
"Allston","2010","21271","5442","2.21434520091609"
"Allston","2020","23758","5910","2.36938780562481"
"Allston","2025","25900","5910","2.32117268870574"
"Back Bay","1950","21228","0","3.33983637507867"
"Back Bay","1960","14822","3332","1.69568699233497"
"Back Bay","1970","14620","3497","1.58809472083424"
"Back Bay","1980","14599","3737","1.4536493079757"
"Back Bay","1990","14553","2152","1.50496380558428"
"Back Bay","2000","14736","1945","1.46583109519546"
"Back Bay","2010","15206","1416","1.5470546342456"
"Back Bay","2020","16898","1985","1.68883096681991"
"Back Bay","2025","16998","1985","1.67204143688147"
"Beacon Hill","1950","14151","9","3.12246248896734"
"Beacon Hill","1960","10656","990","1.74774479252091"
"Beacon Hill","1970","9833","477","1.61620644312952"
"Beacon Hill","1980","9472","1069","1.58792958927075"
"Beacon Hill","1990","8927","213","1.61282746160795"
"Beacon Hill","2000","8690","280","1.54626334519573"
"Beacon Hill","2010","9017","6","1.65449541284404"
"Beacon Hill","2020","9409","33","1.71598984625205"
"Beacon Hill","2025","9294","33","1.68635899959392"
"Brighton","1950","46259","168","3.14515909709002"
"Brighton","1960","43872","1334","2.74921669382128"
"Brighton","1970","42203","1854","2.46685761047463"
"Brighton","1980","41815","3119","2.11936137861125"
"Brighton","1990","45278","1952","2.20245160035023"
"Brighton","2000","45219","914","2.11887915280446"
"Brighton","2010","44133","4152","2.10117120548467"
"Brighton","2020","48842","4074","2.16736317772354"
"Brighton","2025","51788","4081","2.10146415879872"
"Charlestown","1950","30746","586","4.56307509646779"
"Charlestown","1960","19704","443","3.2960856473737"
"Charlestown","1970","14956","397","3.10419261104193"
"Charlestown","1980","13172","192","2.50799695354151"
"Charlestown","1990","14466","82","2.11460312819763"
"Charlestown","2000","15036","159","2.04571428571429"
"Charlestown","2010","16313","126","2.03074816382422"
"Charlestown","2020","19378","110","2.16945507926556"
"Charlestown","2025","19122","110","2.1223567508078"
"Chinatown","1950","2801","0","4.62211221122112"
"Chinatown","1960","2037","430","2.09352517985611"
"Chinatown","1970","1290","210","1.96646341463415"
"Chinatown","1980","2623","447","2.29283216783217"
"Chinatown","1990","2665","139","2.1844262295082"
"Chinatown","2000","2346","707","2.08348134991119"
"Chinatown","2010","2897","1167","1.96008119079838"
"Chinatown","2020","5978","450","2.03547842594484"
"Chinatown","2025","5921","450","1.93325392658533"
"Dorchester","1950","161248","797","3.71094541102826"
"Dorchester","1960","149960","2166","3.3851779949886"
"Dorchester","1970","142095","2206","3.28862710609146"
"Dorchester","1980","107628","1846","2.92197426290927"
"Dorchester","1990","110663","1469","2.93178085095109"
"Dorchester","2000","117302","1573","2.88999482618443"
"Dorchester","2010","112942","1307","2.73885103184034"
"Dorchester","2020","122007","2591","2.72197790910916"
"Dorchester","2025","120466","2590","2.63038139606787"
"Downtown","1950","4040","87","5.22639068564036"
"Downtown","1960","2699","146","1.44873859366613"
"Downtown","1970","1783","143","1.75665024630542"
"Downtown","1980","3975","360","1.76040744021258"
"Downtown","1990","4376","424","1.73788721207307"
"Downtown","2000","5456","1482","1.69335816263191"
"Downtown","2010","7927","2472","1.7146874324032"
"Downtown","2020","9781","4476","1.81661167161961"
"Downtown","2025","11277","4475","1.83318637931304"
"East Boston","1950","51122","30","3.73480420806546"
"East Boston","1960","43440","369","3.26763953663307"
"East Boston","1970","38398","475","2.98724132565738"
"East Boston","1980","31692","486","2.44631416441528"
"East Boston","1990","32557","384","2.42654840873519"
"East Boston","2000","38032","381","2.65475359486249"
"East Boston","2010","40279","229","2.7492321343253"
"East Boston","2020","43981","253","2.63927013202112"
"East Boston","2025","46639","253","2.55307328106319"
"Fenway","1950","25792","0","2.63210531686907"
"Fenway","1960","17898","5500","1.70978219335117"
"Fenway","1970","17662","10021","1.63643102010562"
"Fenway","1980","16549","10065","1.56654676258993"
"Fenway","1990","19296","10399","1.69545734118267"
"Fenway","2000","19326","10830","1.62992325208737"
"Fenway","2010","20751","13226","1.61649918205188"
"Fenway","2020","23736","16400","1.78841892849608"
"Fenway","2025","25952","16399","1.7686301649464"
"Hyde Park","1950","26055","73","3.87032085561497"
"Hyde Park","1960","29484","217","3.63730569948187"
"Hyde Park","1970","35229","334","3.26103860038878"
"Hyde Park","1980","29972","386","2.78110791500418"
"Hyde Park","1990","30030","433","2.63282482903735"
"Hyde Park","2000","31614","396","2.72088820036148"
