"Topic: Nativity",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2025",,,,
,,,,
"Source: U.S. Census Bureau, 1950-2000 Decennial Censuses, 2008-2012 American Community Survey, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","Native-born","Foreign-born","Foreign-born share of population"
"Allston","1950","16658","3826","0.186779925795743"
"Allston","1960","15702","3374","0.176871461522332"
"Allston","1970","16332","3101","0.15957392065044"
"Allston","1980","16176","4154","0.204328578455484"
"Allston","1990","15028","8027","0.348167425721102"
"Allston","2000","15514","8001","0.340250903678503"
"Allston","2010","17432","6992","0.286275794300688"
"Allston","2020","20535","9133","0.307828550559427"
"Allston","2025","21652","10158","0.319329351241748"
"Back Bay","1950","17400","3227","0.156445435594124"
"Back Bay","1960","15791","2363","0.130164151151261"
"Back Bay","1970","16249","1756","0.0975284643154679"
"Back Bay","1980","16342","1994","0.108747818499127"
"Back Bay","1990","14643","2062","0.123436096976953"
"Back Bay","2000","13867","2814","0.168694922366765"
"Back Bay","2010","13930","3057","0.179961146759287"
"Back Bay","2020","14773","4110","0.217674997795896"
"Back Bay","2025","15096","3887","0.204764859400516"
"Beacon Hill","1950","11489","2559","0.182161161731207"
"Beacon Hill","1960","9771","1875","0.160999484801649"
"Beacon Hill","1970","9253","1154","0.110886903046027"
"Beacon Hill","1980","9464","1077","0.10217246940518"
"Beacon Hill","1990","8128","1013","0.110819385187616"
"Beacon Hill","2000","7670","1299","0.144832199799309"
"Beacon Hill","2010","8419","1071","0.112855637513172"
"Beacon Hill","2020","8207","1235","0.13081972134704"
"Beacon Hill","2025","8136","1191","0.127669674064544"
"Brighton","1950","37654","8663","0.187037156983397"
"Brighton","1960","37252","7954","0.175950095120117"
"Brighton","1970","36599","7395","0.168091103332273"
"Brighton","1980","36424","8510","0.189388881470601"
"Brighton","1990","34860","12369","0.261894175188973"
