"Topic: Number of Home Loans",,,,,
"Geographic Extent: City of Boston",,,,,
"Year(s): 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",,,,,
"Note: All originated loans for single- and multi-family properties are included.",,,,,
"Source: Consumer Financial Protection Bureau, Home Mortgage Disclosure Act 2007-2022; City of Boston Planning Department Research Division Analysis",,,,,
"Download type: geographically disaggregated",,,,,
,,,,,
"GEOID","YEAR","Home purchase","Home improvement","Refinancing","Total home purchase loans"
"Allston","2007","147","16","142","147"
"Allston","2008","94","7","90","94"
"Allston","2009","77","4","144","77"
"Allston","2010","81","5","140","81"
"Allston","2011","63","11","138","63"
"Allston","2012","65","9","209","65"
"Allston","2013","78","6","193","78"
"Allston","2014","72","15","68","72"
"Allston","2015","94","15","81","94"
"Allston","2016","62","23","86","62"
"Allston","2017","76","12","58","76"
"Allston","2018","111","16","58","111"
"Allston","2019","68","7","95","68"
"Allston","2020","66","10","169","66"
"Allston","2021","119","8","168","119"
"Allston","2022","76","11","56","76"
"Back Bay","2007","387","19","211","387"
"Back Bay","2008","235","11","252","235"
"Back Bay","2009","177","7","526","177"
"Back Bay","2010","225","16","448","225"
"Back Bay","2011","207","22","434","207"
"Back Bay","2012","278","21","571","278"
"Back Bay","2013","219","17","398","219"
"Back Bay","2014","203","13","126","203"
"Back Bay","2015","199","17","198","199"
"Back Bay","2016","236","26","230","236"
"Back Bay","2017","191","16","133","191"
"Back Bay","2018","191","23","122","191"
"Back Bay","2019","237","18","189","237"
"Back Bay","2020","176","15","385","176"
"Back Bay","2021","239","12","324","239"
"Back Bay","2022","198","23","104","198"
"Beacon Hill","2007","176","8","103","176"
"Beacon Hill","2008","156","9","106","156"
"Beacon Hill","2009","127","1","285","127"
"Beacon Hill","2010","110","5","245","110"
"Beacon Hill","2011","125","4","247","125"
"Beacon Hill","2012","162","8","357","162"
"Beacon Hill","2013","145","14","215","145"
"Beacon Hill","2014","117","10","91","117"
"Beacon Hill","2015","142","18","125","142"
"Beacon Hill","2016","127","24","136","127"
"Beacon Hill","2017","141","17","92","141"
"Beacon Hill","2018","104","21","68","104"
"Beacon Hill","2019","152","20","124","152"
"Beacon Hill","2020","118","8","259","118"
"Beacon Hill","2021","170","15","229","170"
"Beacon Hill","2022","132","11","65","132"
"Brighton","2007","578","50","439","578"
"Brighton","2008","343","32","373","343"
"Brighton","2009","295","24","677","295"
"Brighton","2010","282","18","715","282"
"Brighton","2011","236","44","619","236"
"Brighton","2012","288","48","931","288"
"Brighton","2013","353","44","684","353"
"Brighton","2014","310","48","246","310"
"Brighton","2015","276","49","366","276"
"Brighton","2016","247","76","384","247"
"Brighton","2017","266","51","191","266"
"Brighton","2018","354","62","201","354"
"Brighton","2019","293","58","320","293"
"Brighton","2020","280","39","744","280"
"Brighton","2021","440","39","682","440"
"Brighton","2022","340","33","180","340"
"Charlestown","2007","452","39","290","452"
"Charlestown","2008","331","24","334","331"
"Charlestown","2009","296","12","739","296"
"Charlestown","2010","292","14","695","292"
"Charlestown","2011","300","48","582","300"
"Charlestown","2012","424","23","932","424"
"Charlestown","2013","503","31","612","503"
"Charlestown","2014","360","32","233","360"
"Charlestown","2015","423","44","399","423"
"Charlestown","2016","394","49","434","394"
"Charlestown","2017","388","42","185","388"
"Charlestown","2018","375","75","165","375"
"Charlestown","2019","395","40","433","395"
"Charlestown","2020","375","41","961","375"
"Charlestown","2021","482","37","705","482"
"Charlestown","2022","375","48","112","375"
"Chinatown","2007","47","4","29","47"
"Chinatown","2008","31","0","27","31"
"Chinatown","2009","32","0","56","32"
"Chinatown","2010","24","1","53","24"
"Chinatown","2011","32","2","54","32"
"Chinatown","2012","40","1","57","40"
"Chinatown","2013","60","1","52","60"
"Chinatown","2014","41","1","17","41"
"Chinatown","2015","33","1","25","33"
"Chinatown","2016","77","4","31","77"
"Chinatown","2017","39","1","13","39"
"Chinatown","2018","43","3","12","43"
"Chinatown","2019","33","1","23","33"
"Chinatown","2020","21","3","51","21"
"Chinatown","2021","33","3","53","33"
"Chinatown","2022","48","1","11","48"
"Dorchester","2007","1324","269","1415","1324"
"Dorchester","2008","928","84","663","928"
"Dorchester","2009","751","48","917","751"
"Dorchester","2010","660","48","898","660"
"Dorchester","2011","548","78","981","548"
"Dorchester","2012","645","107","1474","645"
"Dorchester","2013","791","135","1284","791"
"Dorchester","2014","826","142","681","826"
"Dorchester","2015","873","171","988","873"
"Dorchester","2016","861","224","1265","861"
"Dorchester","2017","1015","191","886","1015"
"Dorchester","2018","960","202","833","960"
"Dorchester","2019","1007","179","1327","1007"
"Dorchester","2020","897","132","2507","897"
"Dorchester","2021","1116","172","2377","1116"
"Dorchester","2022","901","186","760","901"
"Downtown","2007","158","24","123","158"
"Downtown","2008","111","5","108","111"
"Downtown","2009","97","3","222","97"
"Downtown","2010","84","1","214","84"
"Downtown","2011","87","6","199","87"
