"Topic: Number of Small Business Loans",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",,,,
"Note: A business is considered small if it has <$1M in annual revenue.",,,,
"Source: FFIEC, Community Reinvestment Act data, https://github.com/acforrester/community-reinvestment-act; City of Boston Planning Department Research Division analysis",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","Loans to small businesses","Loans to large businesses","Share of small loans going to small businesses"
"Allston","1996","90","158","0.362903225806452"
"Allston","1997","85","130","0.395348837209302"
"Allston","1998","103","111","0.481308411214953"
"Allston","1999","119","115","0.508547008547009"
"Allston","2000","160","240","0.4"
"Allston","2001","219","270","0.447852760736196"
"Allston","2002","134","397","0.252354048964218"
"Allston","2003","181","383","0.320921985815603"
"Allston","2004","194","397","0.328257191201354"
"Allston","2005","269","322","0.455160744500846"
"Allston","2006","333","635","0.34400826446281"
"Allston","2007","396","660","0.375"
"Allston","2008","227","556","0.289910600255428"
"Allston","2009","82","241","0.253869969040248"
"Allston","2010","94","231","0.289230769230769"
"Allston","2011","167","228","0.422784810126582"
"Allston","2012","176","219","0.445569620253165"
"Allston","2013","216","219","0.496551724137931"
"Allston","2014","266","305","0.46584938704028"
"Allston","2015","213","241","0.469162995594714"
"Allston","2016","277","303","0.477586206896552"
"Allston","2017","273","313","0.465870307167235"
"Allston","2018","278","365","0.432348367029549"
"Allston","2019","302","346","0.466049382716049"
"Allston","2020","311","475","0.395674300254453"
"Allston","2021","340","446","0.432569974554707"
"Allston","2022","257","307","0.455673758865248"
"Allston","2023","241","274","0.467961165048544"
"Allston","2024","326","305","0.516640253565769"
"Back Bay","1996","171","385","0.307553956834532"
"Back Bay","1997","239","348","0.407155025553663"
"Back Bay","1998","216","298","0.420233463035019"
"Back Bay","1999","230","225","0.505494505494505"
"Back Bay","2000","272","443","0.38041958041958"
"Back Bay","2001","394","510","0.435840707964602"
"Back Bay","2002","323","973","0.249228395061728"
"Back Bay","2003","320","703","0.312805474095797"
"Back Bay","2004","310","702","0.306324110671937"
"Back Bay","2005","402","462","0.465277777777778"
"Back Bay","2006","570","1482","0.277777777777778"
"Back Bay","2007","555","1537","0.265296367112811"
"Back Bay","2008","325","1372","0.191514437242192"
"Back Bay","2009","124","624","0.165775401069519"
"Back Bay","2010","135","588","0.186721991701245"
"Back Bay","2011","325","514","0.387365911799762"
"Back Bay","2012","388","545","0.415862808145766"
"Back Bay","2013","410","495","0.453038674033149"
"Back Bay","2014","428","553","0.436289500509684"
"Back Bay","2015","468","552","0.458823529411765"
"Back Bay","2016","514","671","0.433755274261603"
"Back Bay","2017","507","776","0.395167575993765"
"Back Bay","2018","476","896","0.346938775510204"
"Back Bay","2019","500","864","0.366568914956012"
"Back Bay","2020","602","1309","0.315018315018315"
"Back Bay","2021","651","1073","0.377610208816705"
"Back Bay","2022","601","915","0.396437994722955"
"Back Bay","2023","640","870","0.423841059602649"
"Back Bay","2024","615","923","0.399869960988296"
"Beacon Hill","1996","57","97","0.37012987012987"
"Beacon Hill","1997","74","81","0.47741935483871"
"Beacon Hill","1998","73","73","0.5"
"Beacon Hill","1999","102","53","0.658064516129032"
"Beacon Hill","2000","68","159","0.299559471365639"
"Beacon Hill","2001","102","124","0.451327433628319"
"Beacon Hill","2002","94","169","0.357414448669202"
"Beacon Hill","2003","123","171","0.418367346938776"
"Beacon Hill","2004","97","182","0.347670250896057"
"Beacon Hill","2005","127","142","0.472118959107807"
"Beacon Hill","2006","175","419","0.294612794612795"
"Beacon Hill","2007","213","408","0.342995169082126"
"Beacon Hill","2008","132","341","0.27906976744186"
"Beacon Hill","2009","55","135","0.289473684210526"
"Beacon Hill","2010","45","141","0.241935483870968"
"Beacon Hill","2011","86","140","0.380530973451327"
"Beacon Hill","2012","96","112","0.461538461538462"
"Beacon Hill","2013","112","100","0.528301886792453"
"Beacon Hill","2014","100","116","0.462962962962963"
"Beacon Hill","2015","112","107","0.511415525114155"
"Beacon Hill","2016","133","157","0.458620689655172"
"Beacon Hill","2017","149","163","0.477564102564103"
"Beacon Hill","2018","124","190","0.394904458598726"
"Beacon Hill","2019","133","178","0.427652733118971"
"Beacon Hill","2020","124","263","0.320413436692506"
"Beacon Hill","2021","174","243","0.41726618705036"
"Beacon Hill","2022","159","168","0.486238532110092"
"Beacon Hill","2023","147","144","0.505154639175258"
"Beacon Hill","2024","142","141","0.501766784452297"
"Brighton","1996","101","136","0.426160337552743"
"Brighton","1997","110","138","0.443548387096774"
"Brighton","1998","141","114","0.552941176470588"
"Brighton","1999","148","162","0.47741935483871"
"Brighton","2000","188","289","0.394129979035639"
"Brighton","2001","244","318","0.434163701067616"
"Brighton","2002","213","473","0.310495626822157"
"Brighton","2003","279","456","0.379591836734694"
"Brighton","2004","258","514","0.33419689119171"
"Brighton","2005","406","421","0.49093107617896"
"Brighton","2006","517","926","0.358281358281358"
"Brighton","2007","621","968","0.390811831340466"
"Brighton","2008","357","819","0.303571428571429"
"Brighton","2009","134","355","0.274028629856851"
"Brighton","2010","138","344","0.286307053941909"
"Brighton","2011","209","313","0.400383141762452"
"Brighton","2012","290","299","0.492359932088285"
"Brighton","2013","298","270","0.524647887323944"
"Brighton","2014","294","330","0.471153846153846"
"Brighton","2015","302","276","0.522491349480969"
"Brighton","2016","376","342","0.523676880222841"
"Brighton","2017","432","339","0.560311284046693"
"Brighton","2018","380","461","0.451843043995244"
"Brighton","2019","436","447","0.493771234428086"
"Brighton","2020","407","587","0.409456740442656"
"Brighton","2021","436","560","0.437751004016064"
"Brighton","2022","405","452","0.472578763127188"
"Brighton","2023","486","437","0.526543878656555"
"Brighton","2024","597","446","0.572387344199425"
"Charlestown","1996","50","94","0.347222222222222"
"Charlestown","1997","42","78","0.35"
"Charlestown","1998","68","66","0.507462686567164"
"Charlestown","1999","71","66","0.518248175182482"
"Charlestown","2000","85","184","0.315985130111524"
"Charlestown","2001","99","335","0.228110599078341"
"Charlestown","2002","92","321","0.222760290556901"
"Charlestown","2003","123","277","0.3075"
"Charlestown","2004","151","276","0.353629976580796"
"Charlestown","2005","165","190","0.464788732394366"
"Charlestown","2006","221","555","0.28479381443299"
"Charlestown","2007","270","557","0.326481257557437"
"Charlestown","2008","129","475","0.213576158940397"
"Charlestown","2009","58","192","0.232"
"Charlestown","2010","38","206","0.155737704918033"
"Charlestown","2011","112","174","0.391608391608392"
"Charlestown","2012","148","206","0.418079096045198"
"Charlestown","2013","148","169","0.466876971608833"
"Charlestown","2014","160","220","0.421052631578947"
"Charlestown","2015","166","223","0.426735218508997"
"Charlestown","2016","173","288","0.37527114967462"
"Charlestown","2017","235","295","0.443396226415094"
"Charlestown","2018","202","323","0.384761904761905"
"Charlestown","2019","241","311","0.436594202898551"
"Charlestown","2020","214","430","0.332298136645963"
"Charlestown","2021","283","409","0.408959537572254"
"Charlestown","2022","244","329","0.425828970331588"
"Charlestown","2023","264","288","0.478260869565217"
"Charlestown","2024","290","323","0.473083197389886"
"Chinatown","1996","153","272","0.36"
"Chinatown","1997","135","296","0.31322505800464"
"Chinatown","1998","152","235","0.392764857881137"
"Chinatown","1999","183","163","0.528901734104046"
"Chinatown","2000","184","358","0.339483394833948"
"Chinatown","2001","281","456","0.381275440976933"
"Chinatown","2002","225","483","0.317796610169492"
"Chinatown","2003","167","350","0.323017408123791"
"Chinatown","2004","147","366","0.286549707602339"
"Chinatown","2005","174","248","0.412322274881517"
"Chinatown","2006","200","651","0.235017626321974"
"Chinatown","2007","227","652","0.258248009101251"
"Chinatown","2008","117","529","0.181114551083591"
"Chinatown","2009","50","263","0.159744408945687"
"Chinatown","2010","55","234","0.190311418685121"
"Chinatown","2011","114","232","0.329479768786127"
"Chinatown","2012","133","208","0.390029325513196"
"Chinatown","2013","134","196","0.406060606060606"
"Chinatown","2014","167","228","0.422784810126582"
"Chinatown","2015","189","261","0.42"
"Chinatown","2016","186","304","0.379591836734694"
"Chinatown","2017","201","301","0.400398406374502"
"Chinatown","2018","158","347","0.312871287128713"
"Chinatown","2019","191","354","0.35045871559633"
"Chinatown","2020","211","521","0.288251366120219"
"Chinatown","2021","220","405","0.352"
"Chinatown","2022","79","125","0.387254901960784"
"Chinatown","2023","93","110","0.458128078817734"
"Chinatown","2024","143","173","0.45253164556962"
"Dorchester","1996","156","219","0.416"
"Dorchester","1997","172","250","0.407582938388626"
"Dorchester","1998","219","255","0.462025316455696"
"Dorchester","1999","223","364","0.379897785349233"
"Dorchester","2000","284","529","0.349323493234932"
"Dorchester","2001","364","692","0.34469696969697"
"Dorchester","2002","282","1060","0.210134128166915"
"Dorchester","2003","412","998","0.292198581560284"
"Dorchester","2004","395","1014","0.280340667139815"
"Dorchester","2005","611","849","0.418493150684931"
"Dorchester","2006","837","1744","0.324292909724913"
"Dorchester","2007","845","1566","0.350476980506014"
"Dorchester","2008","451","1321","0.25451467268623"
"Dorchester","2009","208","664","0.238532110091743"
"Dorchester","2010","175","546","0.242718446601942"
"Dorchester","2011","325","578","0.359911406423034"
"Dorchester","2012","419","595","0.413214990138067"
"Dorchester","2013","427","446","0.489117983963345"
"Dorchester","2014","428","567","0.430150753768844"
"Dorchester","2015","576","510","0.530386740331492"
"Dorchester","2016","692","635","0.52147701582517"
"Dorchester","2017","694","656","0.514074074074074"
"Dorchester","2018","615","782","0.440229062276306"
"Dorchester","2019","731","897","0.449017199017199"
"Dorchester","2020","791","1162","0.405017921146953"
"Dorchester","2021","1115","1323","0.457342083675144"
"Dorchester","2022","1023","911","0.528955532574974"
"Dorchester","2023","1107","860","0.562785968479919"
"Dorchester","2024","1213","959","0.558471454880295"
"Downtown","1996","345","590","0.368983957219251"
"Downtown","1997","350","619","0.361197110423117"
"Downtown","1998","329","465","0.414357682619647"
"Downtown","1999","377","337","0.528011204481793"
"Downtown","2000","416","687","0.377153218495014"
"Downtown","2001","613","973","0.386506935687264"
"Downtown","2002","469","1027","0.313502673796791"
"Downtown","2003","607","1272","0.323044172432145"
"Downtown","2004","554","1354","0.290356394129979"
"Downtown","2005","652","862","0.430647291941876"
"Downtown","2006","760","2422","0.238843494657448"
"Downtown","2007","786","2387","0.247715096123542"
"Downtown","2008","428","2025","0.174480228291887"
"Downtown","2009","178","1053","0.144597887896019"
"Downtown","2010","204","905","0.18394950405771"
"Downtown","2011","432","940","0.314868804664723"
"Downtown","2012","583","950","0.380300065231572"
"Downtown","2013","578","875","0.397797660013765"
"Downtown","2014","669","967","0.408924205378973"
"Downtown","2015","743","1082","0.407123287671233"
"Downtown","2016","745","1236","0.376072690560323"
"Downtown","2017","828","1292","0.390566037735849"
"Downtown","2018","642","1425","0.310595065312046"
"Downtown","2019","707","1499","0.320489573889393"
"Downtown","2020","873","2157","0.288118811881188"
"Downtown","2021","906","1720","0.345011424219345"
"Downtown","2022","791","1868","0.297480255735239"
"Downtown","2023","824","1532","0.34974533106961"
"Downtown","2024","850","1525","0.357894736842105"
"East Boston","1996","85","125","0.404761904761905"
"East Boston","1997","59","113","0.343023255813953"
"East Boston","1998","75","95","0.441176470588235"
"East Boston","1999","122","145","0.456928838951311"
"East Boston","2000","131","243","0.350267379679144"
"East Boston","2001","165","275","0.375"
"East Boston","2002","105","373","0.219665271966527"
"East Boston","2003","178","352","0.335849056603774"
"East Boston","2004","168","366","0.314606741573034"
"East Boston","2005","224","273","0.450704225352113"
"East Boston","2006","274","604","0.312072892938497"
"East Boston","2007","352","563","0.384699453551913"
"East Boston","2008","203","507","0.285915492957746"
"East Boston","2009","80","185","0.30188679245283"
"East Boston","2010","81","231","0.259615384615385"
"East Boston","2011","121","191","0.387820512820513"
"East Boston","2012","159","170","0.483282674772036"
"East Boston","2013","143","152","0.484745762711864"
"East Boston","2014","157","182","0.463126843657817"
"East Boston","2015","204","219","0.482269503546099"
"East Boston","2016","285","244","0.53875236294896"
"East Boston","2017","271","257","0.513257575757576"
"East Boston","2018","239","299","0.444237918215613"
"East Boston","2019","271","346","0.439222042139384"
"East Boston","2020","300","465","0.392156862745098"
"East Boston","2021","377","478","0.44093567251462"
"East Boston","2022","404","396","0.505"
"East Boston","2023","479","371","0.563529411764706"
"East Boston","2024","512","394","0.565121412803532"
"Fenway","1996","61","128","0.322751322751323"
"Fenway","1997","98","107","0.478048780487805"
"Fenway","1998","88","104","0.458333333333333"
"Fenway","1999","96","77","0.554913294797688"
"Fenway","2000","122","211","0.366366366366366"
"Fenway","2001","148","270","0.354066985645933"
"Fenway","2002","130","282","0.315533980582524"
"Fenway","2003","156","293","0.347438752783964"
"Fenway","2004","113","323","0.259174311926606"
"Fenway","2005","211","193","0.522277227722772"
"Fenway","2006","285","491","0.367268041237113"
"Fenway","2007","308","558","0.355658198614319"
"Fenway","2008","164","482","0.253869969040248"
"Fenway","2009","64","203","0.239700374531835"
"Fenway","2010","64","186","0.256"
"Fenway","2011","102","174","0.369565217391304"
"Fenway","2012","125","185","0.403225806451613"
"Fenway","2013","175","172","0.504322766570605"
"Fenway","2014","179","180","0.498607242339833"
"Fenway","2015","203","185","0.52319587628866"
"Fenway","2016","190","202","0.48469387755102"
"Fenway","2017","202","245","0.451901565995526"
"Fenway","2018","207","303","0.405882352941176"
"Fenway","2019","240","271","0.469667318982387"
"Fenway","2020","189","315","0.375"
"Fenway","2021","234","332","0.413427561837456"
"Fenway","2022","187","216","0.464019851116625"
"Fenway","2023","215","212","0.503512880562061"
"Fenway","2024","227","234","0.492407809110629"
"Hyde Park","1996","63","75","0.456521739130435"
"Hyde Park","1997","54","83","0.394160583941606"
"Hyde Park","1998","98","65","0.601226993865031"
"Hyde Park","1999","79","105","0.429347826086957"
"Hyde Park","2000","97","210","0.315960912052117"
"Hyde Park","2001","105","265","0.283783783783784"
"Hyde Park","2002","123","344","0.26338329764454"
"Hyde Park","2003","151","358","0.296660117878193"
"Hyde Park","2004","152","381","0.285178236397749"
"Hyde Park","2005","236","271","0.465483234714004"
"Hyde Park","2006","279","595","0.319221967963387"
"Hyde Park","2007","265","565","0.319277108433735"
"Hyde Park","2008","147","485","0.232594936708861"
"Hyde Park","2009","60","242","0.198675496688742"
"Hyde Park","2010","62","213","0.225454545454545"
"Hyde Park","2011","105","231","0.3125"
"Hyde Park","2012","130","251","0.341207349081365"
"Hyde Park","2013","142","161","0.468646864686469"
"Hyde Park","2014","157","165","0.487577639751553"
"Hyde Park","2015","197","160","0.551820728291317"
"Hyde Park","2016","229","240","0.488272921108742"
"Hyde Park","2017","221","257","0.46234309623431"
"Hyde Park","2018","204","305","0.400785854616896"
