"Topic: Population",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2024, 2025",,,,
,,,,
"Source: U.S. Census Bureau, 1950-2010 Decennial Censuses, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates, 2030 and 2035 Research Division projections",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","Male","Female","Population per square mile"
"Allston","1950","9925","10835","15069.4651822998"
"Allston","1960","9150","9926","13847.0673322519"
"Allston","1970","9264","10337","14228.1592985673"
"Allston","1980","9897","10431","14755.8809357317"
"Allston","1990","12129","10927","16736.1073816524"
"Allston","2000","11887","11628","17069.290643631"
"Allston","2010","13567","13146","19390.6851355864"
"Allston","2020","14331","15337","21535.5807451264"
"Allston","2024","15357","16228","22927.2185829932"
"Allston","2025","15480","16330","23090.5437449364"
"Back Bay","1950","9037","12191","41525.6623008142"
"Back Bay","1960","7712","10442","35512.3833337564"
"Back Bay","1970","7581","10536","35440.0048946604"
"Back Bay","1980","8995","9341","35868.4070071476"
"Back Bay","1990","8148","8558","32679.8433388639"
"Back Bay","2000","8412","8269","32630.9389881233"
"Back Bay","2010","8110","8512","32515.5247203756"
"Back Bay","2020","9072","9811","36939.3001096097"
"Back Bay","2024","9159","9903","37288.5893526531"
"Back Bay","2025","9117","9866","37134.051604313"
"Beacon Hill","1950","6614","7546","51062.4577483856"
"Beacon Hill","1960","5604","6043","42000.3139403564"
"Beacon Hill","1970","4816","5495","37182.5566273731"
"Beacon Hill","1980","5368","5174","38015.5670609803"
"Beacon Hill","1990","4435","4705","32959.8067669664"
"Beacon Hill","2000","4403","4566","32343.1626797507"
"Beacon Hill","2010","4094","4929","32537.892391503"
"Beacon Hill","2020","4220","5222","34048.0298203312"
"Beacon Hill","2024","4195","5179","33803.6355178931"
"Beacon Hill","2025","4176","5151","33634.1486678414"
"Brighton","1950","21105","25322","17112.7458062126"
"Brighton","1960","20357","24850","16663.0602809024"
"Brighton","1970","19194","24865","16239.9135734793"
"Brighton","1980","19643","25288","16561.3281456682"
"Brighton","1990","21868","25361","17408.3587499002"
"Brighton","2000","22027","24106","17004.3789665067"
"Brighton","2010","23565","24719","17797.2261508857"
"Brighton","2020","25401","27514","19504.3832447869"
"Brighton","2024","26583","28659","20361.9080239257"
"Brighton","2025","26811","29058","20593.0205530377"
"Charlestown","1950","17936","13396","23146.2183766112"
"Charlestown","1960","9882","10265","14883.4055162002"
"Charlestown","1970","7469","7884","11341.88340151"
"Charlestown","1980","6352","7012","9872.52848158534"
"Charlestown","1990","6625","7923","10747.1972725309"
"Charlestown","2000","6934","8261","11225.1623973129"
"Charlestown","2010","7589","8850","12144.1556202321"
"Charlestown","2020","9072","10416","14396.2598914282"
"Charlestown","2024","8985","10295","14242.9174741818"
"Charlestown","2025","8958","10274","14207.7489923729"
"Chinatown","1950","1889","912","25353.3495236933"
"Chinatown","1960","1694","774","22339.1883700375"
"Chinatown","1970","917","582","13568.250958949"
"Chinatown","1980","1797","1273","27788.2124376074"
"Chinatown","1990","1438","1367","25389.5556636771"
"Chinatown","2000","1556","1496","27625.2848076801"
"Chinatown","2010","1949","2115","36785.438223595"
"Chinatown","2020","3134","3294","58185.0779744475"
"Chinatown","2024","3098","3266","57603.9687143106"
"Chinatown","2025","3093","3278","57667.3289373045"
"Dorchester","1950","77058","84987","22266.2590245698"
"Dorchester","1960","71409","80717","20903.3103173298"
"Dorchester","1970","66034","78268","19828.231107183"
"Dorchester","1980","50671","58803","15042.5896538354"
"Dorchester","1990","52897","59235","15407.8197842763"
"Dorchester","2000","55953","62922","16334.3610820805"
"Dorchester","2010","53874","60375","15698.7122546087"
"Dorchester","2020","58986","65612","17120.7760032545"
"Dorchester","2024","57891","64669","16840.7090996407"
"Dorchester","2025","58076","64981","16908.9135592706"
"Downtown","1950","2856","1271","6376.15683813196"
"Downtown","1960","1933","911","4393.93991946869"
"Downtown","1970","1053","870","2971.00789913442"
"Downtown","1980","2327","2010","6700.60387859905"
"Downtown","1990","2421","2378","7414.38736762667"
"Downtown","2000","3652","3285","10717.5672367631"
"Downtown","2010","5364","5034","16064.7634608423"
"Downtown","2020","7015","7241","22026.3036168143"
"Downtown","2024","7751","7996","24328.8930773113"
"Downtown","2025","7769","7983","24336.6180068463"
"East Boston","1950","25456","25696","10544.7225650386"
"East Boston","1960","21545","22264","9031.00075953584"
"East Boston","1970","18568","20305","8013.46966434835"
"East Boston","1980","15047","17131","6633.32973681993"
"East Boston","1990","16177","16763","6790.41213036386"
"East Boston","2000","19646","18767","7918.64302257642"
"East Boston","2010","21314","19194","8350.51653238553"
"East Boston","2020","22297","21936","9118.57058415815"
"East Boston","2024","23173","22864","9490.29153750945"
"East Boston","2025","23623","23269","9666.54623085339"
"Fenway","1950","11663","14131","19451.0797460343"
"Fenway","1960","10325","13072","17643.5183693093"
"Fenway","1970","11692","15990","20874.8076889866"
"Fenway","1980","14433","12183","20070.9443483155"
"Fenway","1990","15738","13959","22394.3054670846"
"Fenway","2000","14880","15275","22739.680148161"
"Fenway","2010","16051","17926","25621.8243208113"
"Fenway","2020","18611","21525","38221.1986877947"
"Fenway","2024","19341","22397","31474.3415693564"
"Fenway","2025","19631","22720","40330.7179491095"
"Hyde Park","1950","12718","13410","5246.8291134253"
"Hyde Park","1960","14478","15223","5964.33219143619"
"Hyde Park","1970","16966","18597","7141.49509188395"
"Hyde Park","1980","14134","16225","6096.46681929266"
"Hyde Park","1990","14285","16179","6117.55213224848"
"Hyde Park","2000","14923","17087","6428.00826395988"
"Hyde Park","2010","15231","17086","6489.65770279261"
