"Topic: Race and Ethnicity",,,,,,,,,
"Geographic Extent: City of Boston",,,,,,,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2025",,,,,,,,,
"Note: In 1950 and 1960, the only race/ethnicity categories on the Census were White, Black, and Other. Two or more races became an option in 2000.",,,,,,,,,
"Source: U.S. Census Bureau, 1950-2010 Decennial Censuses, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates",,,,,,,,,
"Download type: geographically disaggregated",,,,,,,,,
,,,,,,,,,
"GEOID","YEAR","White","Black/African American","Hispanic/Latino","Asian/Pacific Islander","American Indian","Two or More","Other","Non-white share of population"
"Allston","1950","20485","212","0","0","0","0","65","0.0133416819188903"
"Allston","1960","18759","197","0","0","0","0","120","0.0166177395680436"
"Allston","1970","17909","511","583","534","24","0","38","0.0862288892290423"
"Allston","1980","15959","1224","1309","1528","31","0","279","0.215002459419577"
"Allston","1990","14613","2211","3000","3027","46","0","157","0.36614036609699"
"Allston","2000","13921","1402","3128","3901","40","741","382","0.407994896874336"
"Allston","2010","15270","1456","3481","5123","23","829","531","0.428368210234717"
"Allston","2020","14821","1670","3873","7350","25","1580","348","0.500439188425482"
"Allston","2025","15926","1745","4124","7955","25","1663","372","0.499325948319882"
"Back Bay","1950","20627","533","0","0","0","0","68","0.028311663840211"
"Back Bay","1960","17100","837","0","0","0","0","217","0.0580588300099152"
"Back Bay","1970","16345","1046","395","233","34","0","64","0.0978086879726224"
"Back Bay","1980","16140","1048","621","389","34","0","104","0.119764397905759"
"Back Bay","1990","14507","745","652","746","31","0","24","0.131577372044298"
"Back Bay","2000","13870","614","730","1101","24","282","60","0.168515077033751"
"Back Bay","2010","13096","661","943","1564","13","290","55","0.21212850439177"
"Back Bay","2020","13487","737","1280","2531","16","728","104","0.285763268058483"
"Back Bay","2025","13593","726","1266","2562","15","720","103","0.283958109298178"
"Beacon Hill","1950","14049","87","0","0","0","0","25","0.00790904597132971"
"Beacon Hill","1960","11481","83","0","0","0","0","83","0.0142525972353396"
"Beacon Hill","1970","9958","151","44","113","11","0","34","0.0342352827077878"
"Beacon Hill","1980","9852","243","191","186","11","0","59","0.0654524758110415"
"Beacon Hill","1990","8356","194","191","376","9","0","14","0.0857768052516411"
"Beacon Hill","2000","7835","285","292","437","9","97","15","0.126532887402453"
"Beacon Hill","2010","7832","178","374","483","5","119","32","0.131996010196165"
"Beacon Hill","2020","7607","254","544","637","1","351","47","0.194124953951276"
"Beacon Hill","2025","7528","252","528","635","1","338","45","0.192876177580007"
"Brighton","1950","46317","73","0","0","0","0","37","0.00236931096129407"
"Brighton","1960","44931","135","0","0","0","0","140","0.00608326328363492"
"Brighton","1970","41783","623","751","761","39","0","101","0.0516364791865268"
"Brighton","1980","39355","1334","1602","2216","64","0","363","0.124159878933547"
"Brighton","1990","36782","2439","3413","4344","63","0","189","0.22121532923989"
"Brighton","2000","33914","1708","3209","5710","65","1082","446","0.26488056530975"
"Brighton","2010","34299","1975","3959","6445","42","1006","558","0.289640460608069"
"Brighton","2020","32964","2491","5549","8928","63","2146","774","0.377045641363572"
"Brighton","2025","34316","2747","5896","9762","69","2274","805","0.385773149057681"
"Charlestown","1950","30922","323","0","0","0","0","87","0.0130856632197115"
"Charlestown","1960","20030","30","0","0","0","0","87","0.00580731622574081"
"Charlestown","1970","14704","76","430","108","30","0","5","0.0422718686901583"
"Charlestown","1980","13034","24","124","124","19","0","39","0.0246932056270578"
"Charlestown","1990","13785","85","306","313","49","0","10","0.0524470717624416"
"Charlestown","2000","11946","539","1764","761","26","139","20","0.213820335636723"
"Charlestown","2010","12458","764","1591","1344","18","202","62","0.242168015086076"
"Charlestown","2020","13916","999","2098","1681","16","678","99","0.285903388694329"
"Charlestown","2025","13833","969","2027","1644","16","648","94","0.280709582855593"
"Chinatown","1950","1948","63","0","0","0","0","790","0.304534094966084"
"Chinatown","1960","1224","17","0","0","0","0","1226","0.503850830968788"
"Chinatown","1970","740","16","18","720","1","0","4","0.506337558372248"
"Chinatown","1980","906","143","43","1945","7","0","27","0.704982090524259"
"Chinatown","1990","564","103","62","2072","2","0","2","0.798930481283422"
"Chinatown","2000","944","93","94","1870","4","38","9","0.690694626474443"
"Chinatown","2010","1747","159","169","1911","2","68","7","0.570022151119862"
"Chinatown","2020","1919","264","470","3587","2","170","17","0.701443589599685"
"Chinatown","2025","1904","262","457","3557","2","171","18","0.701098778561027"
"Dorchester","1950","161324","601","0","0","0","0","120","0.0044493813446882"
"Dorchester","1960","143583","8190","0","0","0","0","353","0.0561573958429197"
"Dorchester","1970","100356","38606","4092","442","324","0","481","0.304537044095329"
"Dorchester","1980","54253","43655","8746","494","346","0","1979","0.5044166141423"
"Dorchester","1990","42086","49779","13312","3666","424","0","2865","0.624674490778725"
"Dorchester","2000","28924","53329","16277","9896","452","5737","4260","0.756685594111462"
"Dorchester","2010","25322","49144","19407","10637","315","4251","5173","0.778361298567165"
"Dorchester","2020","28407","42929","25653","14033","329","9675","3571","0.772010847778002"
"Dorchester","2025","28411","42260","24975","14006","326","9529","3548","0.769117929529176"
"Downtown","1950","3504","117","0","0","0","0","509","0.151573849878935"
"Downtown","1960","2249","52","0","0","0","0","544","0.209490333919156"
"Downtown","1970","1348","18","24","528","0","0","6","0.299376299376299"
"Downtown","1980","2700","156","68","1372","9","0","30","0.377162629757785"
"Downtown","1990","2901","172","136","1581","8","0","2","0.395625"
"Downtown","2000","3906","278","292","2345","7","94","16","0.437013548573076"
"Downtown","2010","6262","469","515","2932","12","184","25","0.397826714107126"
"Downtown","2020","9020","594","1004","3137","11","416","74","0.367287183373957"
"Downtown","2025","9928","637","1111","3488","12","489","86","0.369736796440677"
"East Boston","1950","51077","53","0","0","0","0","22","0.00146621832968408"
"East Boston","1960","43738","46","0","0","0","0","25","0.00162067155150768"
"East Boston","1970","37945","326","486","50","22","0","44","0.0238726108095593"
"East Boston","1980","30839","121","942","109","45","0","122","0.0416122816831375"
"East Boston","1990","24977","702","5805","1260","84","0","113","0.24176558088704"
"East Boston","2000","19078","1177","14990","1553","71","1104","440","0.503345221669747"
"East Boston","2010","15051","1283","21419","1413","69","618","655","0.628443764194727"
"East Boston","2020","16132","1487","22268","2022","46","1585","692","0.63528561052052"
"East Boston","2025","17228","1589","23473","2147","48","1678","730","0.632611579463513"
"Fenway","1950","25177","434","0","0","0","0","181","0.0238446029776675"
"Fenway","1960","22353","641","0","0","0","0","404","0.0446619369176853"
"Fenway","1970","25373","1218","314","600","56","0","122","0.0834447133619911"
"Fenway","1980","21158","2435","1354","1083","46","0","538","0.205004884647178"
"Fenway","1990","21450","2630","2289","2941","75","0","312","0.277704818668552"
"Fenway","2000","20876","1720","2269","4255","60","835","141","0.307733121103595"
"Fenway","2010","22066","1664","2754","6382","52","947","112","0.35056067339671"
"Fenway","2020","21586","2458","3868","10042","47","1723","412","0.46216883932074"
"Fenway","2025","22713","2525","4018","10823","44","1801","427","0.463700353454876"
"Hyde Park","1950","26078","29","0","0","0","0","21","0.00191365584813227"
"Hyde Park","1960","29604","53","0","0","0","0","44","0.00326588330359247"
"Hyde Park","1970","34888","352","198","98","14","0","13","0.0189804009785451"
"Hyde Park","1980","25186","4198","593","160","39","0","182","0.170366954344818"
"Hyde Park","1990","21386","7075","1522","343","75","0","62","0.297968026786594"
"Hyde Park","2000","13445","12718","4157","484","72","991","143","0.579975007810059"
"Hyde Park","2010","9128","15111","6507","535","85","689","262","0.717548039731411"
"Hyde Park","2020","7624","15622","8311","735","56","1438","363","0.776734093286756"
"Hyde Park","2025","7631","15345","7985","718","57","1378","355","0.771986697848648"
