"Topic: Vehicles Available",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2025",,,,
,,,,
"Source: U.S. Census Bureau, 1960-2000 Decennial Censuses, 2008-2012 American Community Survey, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","0 vehicles","1+ vehicles","Share of households with no vehicles available"
"Allston","1960","3097","3681","0.45691944526409"
"Allston","1970","3003","4370","0.407296894072969"
"Allston","1980","3482","4915","0.414671906633321"
"Allston","1990","3501","5367","0.394790257104195"
"Allston","2000","3627","5537","0.39578786556089"
"Allston","2010","4220","4627","0.476997852379338"
"Allston","2020","4943","5034","0.493008367221632"
"Allston","2025","5681","5477","0.509117908565627"
"Back Bay","1960","5083","3658","0.581512412767418"
"Back Bay","1970","5394","3781","0.587901907356948"
"Back Bay","1980","5439","4604","0.541571243652295"
"Back Bay","1990","4180","5490","0.432264736297828"
"Back Bay","2000","4043","6010","0.402168506913359"
"Back Bay","2010","4421","5292","0.455163183362504"
"Back Bay","2020","4954","5052","0.495056169298421"
"Back Bay","2025","5026","5140","0.494347614345679"
"Beacon Hill","1960","3742","2354","0.613845144356955"
"Beacon Hill","1970","3664","2448","0.599476439790576"
"Beacon Hill","1980","3693","2272","0.619111483654652"
"Beacon Hill","1990","3096","2439","0.559349593495935"
"Beacon Hill","2000","2745","2875","0.488434163701068"
"Beacon Hill","2010","3349","2160","0.607914322018515"
"Beacon Hill","2020","3228","2255","0.588604850339827"
"Beacon Hill","2025","3074","2430","0.558477622816096"
"Brighton","1960","5539","10420","0.347076884516574"
"Brighton","1970","5735","11342","0.335831820577385"
"Brighton","1980","6900","12831","0.349703512239623"
"Brighton","1990","6228","14331","0.302933022034146"
"Brighton","2000","6273","15068","0.293941239866923"
"Brighton","2010","6655","12894","0.340426620287483"
"Brighton","2020","7220","15315","0.320370522910863"
"Brighton","2025","8214","16430","0.333317186510589"
"Charlestown","1960","3410","2568","0.570424891267983"
"Charlestown","1970","2364","2483","0.487724365586961"
"Charlestown","1980","2316","2936","0.440974866717441"
"Charlestown","1990","2270","4571","0.331822832919164"
"Charlestown","2000","1948","5402","0.265034013605442"
"Charlestown","2010","2232","5851","0.276135098354571"
"Charlestown","2020","1788","7144","0.200181509628709"
"Charlestown","2025","1757","7253","0.194977131472308"
"Chinatown","1960","815","158","0.837615621788284"
"Chinatown","1970","520","160","0.764705882352941"
"Chinatown","1980","801","342","0.700787401574803"
"Chinatown","1990","903","314","0.741988496302383"
"Chinatown","2000","786","332","0.70304114490161"
"Chinatown","2010","970","553","0.636900853578464"
"Chinatown","2020","2175","745","0.740439356574587"
"Chinatown","2025","2060","1003","0.67253629789546"
"Dorchester","1960","17548","26751","0.396126323393305"
"Dorchester","1970","19819","23394","0.458635132946104"
"Dorchester","1980","15611","21213","0.423935476862915"
"Dorchester","1990","13578","24167","0.359729765531859"
"Dorchester","2000","13416","27238","0.330004427608599"
"Dorchester","2010","12433","28314","0.30512675779812"
"Dorchester","2020","11969","32854","0.267035008192979"
"Dorchester","2025","12518","33280","0.27333684647341"
"Downtown","1960","1594","270","0.855150214592275"
"Downtown","1970","724","308","0.701550387596899"
"Downtown","1980","1375","903","0.60359964881475"
"Downtown","1990","1508","1007","0.599602385685885"
"Downtown","2000","1872","1358","0.579566563467492"
"Downtown","2010","2785","2005","0.581419624217119"
"Downtown","2020","2920","2464","0.542368074401248"
"Downtown","2025","3385","2767","0.550236445767464"
"East Boston","1960","6093","7188","0.45877569460131"
"East Boston","1970","5934","6898","0.462437655860349"
"East Boston","1980","5589","7366","0.431416441528367"
"East Boston","1990","5653","7764","0.421331147052247"
"East Boston","2000","5825","8501","0.406603378472707"
"East Boston","2010","5367","9598","0.358636819244905"
"East Boston","2020","5281","11410","0.316295246071456"
"East Boston","2025","6110","12156","0.334511104006219"
"Fenway","1960","6436","4031","0.614884876277826"
"Fenway","1970","7200","3593","0.667099045677754"
"Fenway","1980","6937","3627","0.656664142370314"
"Fenway","1990","7053","4353","0.618358758548133"
"Fenway","2000","7366","4491","0.62123640043856"
"Fenway","2010","8215","3681","0.690568258238063"
"Fenway","2020","8559","4713","0.644811322293413"
"Fenway","2025","9099","5574","0.620120779455285"
"Hyde Park","1960","1823","6284","0.224867398544468"
"Hyde Park","1970","2355","8449","0.217974824139208"
"Hyde Park","1980","2256","8522","0.209315271850065"
"Hyde Park","1990","2167","9239","0.189987725758373"
"Hyde Park","2000","2078","9541","0.178844995266374"
"Hyde Park","2010","1875","10103","0.156536984471531"
"Hyde Park","2020","1767","10702","0.14167835744451"
"Hyde Park","2025","1799","10728","0.143616296485504"
"Jamaica Plain","1960","5467","8591","0.388888888888889"
"Jamaica Plain","1970","6447","7868","0.450366748166259"
"Jamaica Plain","1980","5328","8204","0.393733372746083"
"Jamaica Plain","1990","4452","9839","0.311524735847736"
"Jamaica Plain","2000","3831","10754","0.262667123757285"
"Jamaica Plain","2010","4036","11543","0.259066692342256"
"Jamaica Plain","2020","4295","13103","0.246854892386865"
"Jamaica Plain","2025","4504","13917","0.244479771193558"
"Longwood","1960","704","365","0.658559401309635"
"Longwood","1970","517","305","0.628953771289538"
"Longwood","1980","350","111","0.759219088937093"
