"Topic: Volume ($) of Home Loans",,,,,
"Geographic Extent: City of Boston",,,,,
"Year(s): 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",,,,,
"Note: All originated loans for single- and multi-family properties are included. All monetary values are in 2022 inflation-adjusted dollars.",,,,,
"Source: Consumer Financial Protection Bureau, Home Mortgage Disclosure Act 2007-2022; City of Boston Planning Department Research Division Analysis",,,,,
"Download type: geographically disaggregated",,,,,
,,,,,
"GEOID","YEAR","Home purchase","Home improvement","Refinancing","Total home purchase loan volume ($)"
"Allston","2007","56023131","6316517","61303239","56023131"
"Allston","2008","40090988","1259230","94541788","40090988"
"Allston","2009","28091967","718776","55195219","28091967"
"Allston","2010","30218317","1092166","68829832","30218317"
"Allston","2011","25300909","29388856","98776750","25300909"
"Allston","2012","50799620","25809267","125405373","50799620"
"Allston","2013","111241293","1586121","145961501","111241293"
"Allston","2014","48304940","7863392","53381224","48304940"
"Allston","2015","69445341","18892420","45103198","69445341"
"Allston","2016","45160846","28882355","77002038","45160846"
"Allston","2017","92863181","60508093","98045648","92863181"
"Allston","2018","131114078","6985318","41519333","131114078"
"Allston","2019","95264422","1434265","91611497","95264422"
"Allston","2020","62513126","3415300","139196479","62513126"
"Allston","2021","158216749","55780753","126570927","158216749"
"Allston","2022","1.18e+08","2505000","245240000","1.18e+08"
"Back Bay","2007","299791356","35677482","173866503","299791356"
"Back Bay","2008","226268240","10072194","196477107","226268240"
"Back Bay","2009","119502697","2104843","316982792","119502697"
"Back Bay","2010","208508767","24603547","296614228","208508767"
"Back Bay","2011","206856512","15466783","341725076","206856512"
"Back Bay","2012","255657904","21378650","415119528","255657904"
"Back Bay","2013","233252673","28639004","305437484","233252673"
"Back Bay","2014","292983849","18693943","103759909","292983849"
"Back Bay","2015","258495842","18027243","182046753","258495842"
"Back Bay","2016","333230421","52742209","345582543","333230421"
"Back Bay","2017","276803244","10144784","158759842","276803244"
"Back Bay","2018","264401947","10564889","114366530","264401947"
"Back Bay","2019","368650490","4681894","208309939","368650490"
"Back Bay","2020","277693814","7095564","357271560","277693814"
"Back Bay","2021","332405414","7084980","409902776","332405414"
"Back Bay","2022","270570000","12445000","155790000","270570000"
"Beacon Hill","2007","139295964","5364305","89962340","139295964"
"Beacon Hill","2008","121469470","7762531","94649709","121469470"
"Beacon Hill","2009","95140861","296975","186942065","95140861"
"Beacon Hill","2010","82524904","2397499","167454381","82524904"
"Beacon Hill","2011","116527936","6278335","181313184","116527936"
"Beacon Hill","2012","142716383","9154630","241413539","142716383"
"Beacon Hill","2013","153760182","16625370","167158216","153760182"
"Beacon Hill","2014","128767166","8676946","100152654","128767166"
"Beacon Hill","2015","167581741","19986780","112791273","167581741"
"Beacon Hill","2016","164252700","37972098","156631698","164252700"
"Beacon Hill","2017","182522542","23637334","103612427","182522542"
"Beacon Hill","2018","148561109","19527272","93912718","148561109"
"Beacon Hill","2019","209712212","15339213","156391278","209712212"
"Beacon Hill","2020","142386212","2939995","274352392","142386212"
"Beacon Hill","2021","225909325","11248484","250938958","225909325"
"Beacon Hill","2022","169160000","5095000","108625000","169160000"
"Brighton","2007","189973224","11812279","185902738","189973224"
"Brighton","2008","137573816","8619948","167711776","137573816"
"Brighton","2009","102304618","4874131","264822744","102304618"
"Brighton","2010","100465554","3318005","292045918","100465554"
"Brighton","2011","91181346","15517895","264766796","91181346"
"Brighton","2012","144706930","24909577","350523228","144706930"
"Brighton","2013","150553652","12700089","290186262","150553652"
"Brighton","2014","163144786","53260929","144939970","163144786"
"Brighton","2015","130990433","27256085","168872764","130990433"
"Brighton","2016","158962495","43358642","205188406","158962495"
"Brighton","2017","218587779","23374720","108138108","218587779"
"Brighton","2018","206280590","18608170","110928585","206280590"
"Brighton","2019","173143176","15501828","225148952","173143176"
"Brighton","2020","258816995","11459943","484201147","258816995"
"Brighton","2021","332337066","7406248","375576983","332337066"
"Brighton","2022","458670000","7175000","338700000","458670000"
"Charlestown","2007","199385702","8869617","130118290","199385702"
"Charlestown","2008","157440217","6400805","168727598","157440217"
"Charlestown","2009","137369984","4144207","318524250","137369984"
"Charlestown","2010","147428025","5132226","319263650","147428025"
"Charlestown","2011","142099765","20233799","262273070","142099765"
"Charlestown","2012","209583928","5185330","412905448","209583928"
"Charlestown","2013","278765787","23720738","271762118","278765787"
"Charlestown","2014","211635160","10797044","110573892","211635160"
"Charlestown","2015","287992611","21735174","193160672","287992611"
"Charlestown","2016","285750979","23743383","224462274","285750979"
"Charlestown","2017","277379908","22092396","109016135","277379908"
"Charlestown","2018","261628157","54735801","88662325","261628157"
"Charlestown","2019","308037712","9569837","279442672","308037712"
"Charlestown","2020","285275614","11166326","533897392","285275614"
"Charlestown","2021","386152976","9293635","452234456","386152976"
"Charlestown","2022","299705000","10530000","134400000","299705000"
"Chinatown","2007","39332540","1892829","17996672","39332540"
"Chinatown","2008","21462307","0","22710924","21462307"
"Chinatown","2009","19551671","0","32593053","19551671"
"Chinatown","2010","15339691","339683","34300160","15339691"
"Chinatown","2011","31307473","984529","30956186","31307473"
"Chinatown","2012","29854033","358216","35625747","29854033"
"Chinatown","2013","54201960","257709","34175829","54201960"
"Chinatown","2014","38946632","1591760","14265983","38946632"
"Chinatown","2015","42413892","3203433","25096565","42413892"
"Chinatown","2016","110753800","3022265","23051146","110753800"
"Chinatown","2017","45374132","1100887","20242963","45374132"
"Chinatown","2018","32312352","20033016","9338575","32312352"
"Chinatown","2019","34389132","764357","27741940","34389132"
"Chinatown","2020","23411793","829585","42648814","23411793"
"Chinatown","2021","28746563","992773","45242716","28746563"
"Chinatown","2022","17860000","65000","3145000","17860000"
"Dorchester","2007","427737390","43168101","552684088","427737390"
"Dorchester","2008","267329079","8358154","231455214","267329079"
"Dorchester","2009","238039589","9296503","298312030","238039589"
"Dorchester","2010","200908397","12273590","339910665","200908397"
"Dorchester","2011","177606492","12773626","339456069","177606492"
"Dorchester","2012","220005575","17390229","523027409","220005575"
"Dorchester","2013","333494833","26199343","413898115","333494833"
"Dorchester","2014","347014803","40835670","254430218","347014803"
"Dorchester","2015","442809585","46599188","507945959","442809585"
"Dorchester","2016","453248391","71154548","515917411","453248391"
"Dorchester","2017","586406006","68063299","498135511","586406006"
"Dorchester","2018","546880167","40080149","463089470","546880167"
"Dorchester","2019","590897367","57768158","664330992","590897367"
"Dorchester","2020","595671220","31356176","1326158161","595671220"
"Dorchester","2021","883635163","48201620","1166596936","883635163"
"Dorchester","2022","604205000","41820000","486330000","604205000"
"Downtown","2007","125807858","14693318","72033891","125807858"
"Downtown","2008","78532769","4958660","74391507","78532769"
"Downtown","2009","56436679","752892","125929985","56436679"
"Downtown","2010","49828546","841373","123398037","49828546"
"Downtown","2011","76456012","3423302","119804586","76456012"
"Downtown","2012","98566683","1067660","152078888","98566683"
"Downtown","2013","167745364","793138","120051433","167745364"
"Downtown","2014","141342542","7067474","52024223","141342542"
"Downtown","2015","133582075","11250818","124639992","133582075"
"Downtown","2016","347936371","10281095","78058120","347936371"
"Downtown","2017","157337277","3018365","67876535","157337277"
"Downtown","2018","123977895","23095944","48021885","123977895"
"Downtown","2019","112021510","3595440","105979635","112021510"
"Downtown","2020","90556750","2729920","152952437","90556750"
"Downtown","2021","112602853","2298450","162307454","112602853"
"Downtown","2022","181905000","2145000","87950000","181905000"
"East Boston","2007","120962147","11613495","147106625","120962147"
"East Boston","2008","84441959","3615659","76885775","84441959"
"East Boston","2009","70619321","1957517","148407109","70619321"
"East Boston","2010","56169959","5067805","89528087","56169959"
"East Boston","2011","54808980","4150323","70563292","54808980"
"East Boston","2012","60297938","6935442","126027216","60297938"
"East Boston","2013","93886735","9880500","119020771","93886735"
"East Boston","2014","142738794","31188298","102803086","142738794"
"East Boston","2015","156507333","47943823","145121771","156507333"
"East Boston","2016","241645497","29553634","153646707","241645497"
"East Boston","2017","266363555","25838933","159784230","266363555"
"East Boston","2018","276481933","16159094","122641294","276481933"
"East Boston","2019","376480361","30638360","222063715","376480361"
"East Boston","2020","281374466","13094285","508466440","281374466"
"East Boston","2021","543745173","7565592","434516600","543745173"
"East Boston","2022","447685000","11270000","169835000","447685000"
"Fenway","2007","105335871","1928055","64220032","105335871"
"Fenway","2008","74985514","784299","63760657","74985514"
"Fenway","2009","47346004","5805710","126662978","47346004"
"Fenway","2010","46599378","962292","163709147","46599378"
"Fenway","2011","38397642","3560951","146536318","38397642"
"Fenway","2012","81616680","4489363","117926729","81616680"
"Fenway","2013","110700546","7728524","151917242","110700546"
"Fenway","2014","77117148","54886414","113298490","77117148"
"Fenway","2015","57911900","43614814","187804356","57911900"
"Fenway","2016","63696942","49180456","76495347","63696942"
"Fenway","2017","99124460","89085937","78668938","99124460"
"Fenway","2018","187341765","5891397","57602831","187341765"
"Fenway","2019","105897803","2123451","100500459","105897803"
"Fenway","2020","111278803","27997796","153987881","111278803"
"Fenway","2021","106706703","1085427","181763203","106706703"
"Fenway","2022","111790000","1145000","360705000","111790000"
"Hyde Park","2007","116389620","21773842","201675258","116389620"
"Hyde Park","2008","89295429","5197092","110508401","89295429"
"Hyde Park","2009","76750086","3933668","136725993","76750086"
"Hyde Park","2010","74710984","4742481","115353966","74710984"
"Hyde Park","2011","60452253","5779641","112730845","60452253"
"Hyde Park","2012","83453469","7637781","165285565","83453469"
"Hyde Park","2013","85791384","11979714","139852107","85791384"
"Hyde Park","2014","88553313","7124269","78282893","88553313"
"Hyde Park","2015","108157283","18510027","132539743","108157283"
"Hyde Park","2016","122609108","16276020","165461084","122609108"
"Hyde Park","2017","122796419","17463547","126201497","122796419"
"Hyde Park","2018","151195046","11887686","114762788","151195046"
"Hyde Park","2019","133977717","12614785","213003281","133977717"
"Hyde Park","2020","135239761","8356370","373825992","135239761"
"Hyde Park","2021","175860853","12247510","389241852","175860853"
"Hyde Park","2022","159610000","17015000","127575000","159610000"
"Jamaica Plain","2007","243738340","14551895","173920575","243738340"
"Jamaica Plain","2008","179362281","8867251","157679821","179362281"
"Jamaica Plain","2009","172323178","4526724","369696502","172323178"
"Jamaica Plain","2010","170062730","7781149","375662675","170062730"
"Jamaica Plain","2011","144274792","24650850","343045695","144274792"
"Jamaica Plain","2012","189643282","22730665","497179501","189643282"
