week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2017-12-31,-11.0,-7.4,-14.5,59.3,33.9,30.6
2018-01-07,-0.0,4.6,-5.8,75.6,37.7,28.3
2018-01-14,-2.8,0.8,-6.2,66.3,5.7,20.0
2018-01-21,1.1,5.2,-2.9,68.4,28.3,24.2
2018-01-28,-1.1,2.8,-5.2,65.1,18.8,28.1
2018-02-04,0.0,5.4,-5.0,69.0,37.5,24.0
2018-02-11,3.6,7.8,-1.2,76.7,30.6,21.4
2018-02-18,6.8,11.7,2.8,78.0,22.2,25.3
2018-02-25,5.3,9.1,2.5,74.0,68.1,30.6
2018-03-04,1.6,3.6,-0.5,74.1,43.6,31.3
2018-03-11,0.2,3.5,-3.2,71.4,43.4,32.0
2018-03-18,-1.2,2.8,-4.9,69.0,17.0,22.9
2018-03-25,4.0,8.4,0.6,72.3,6.5,20.6
2018-04-01,4.0,8.9,0.0,65.7,27.0,25.1
2018-04-08,5.1,9.2,1.0,69.1,3.9,22.8
2018-04-15,5.3,9.5,1.5,71.0,56.9,27.4
2018-04-22,10.7,15.7,5.7,71.1,43.8,20.1
2018-04-29,15.8,20.9,10.7,68.1,9.7,25.0
2018-05-06,13.0,16.7,9.4,79.1,7.2,20.1
2018-05-13,13.2,18.2,9.4,82.9,20.7,19.7
2018-05-20,18.5,24.5,12.5,73.0,15.6,22.4
2018-05-27,17.7,22.0,13.4,81.9,6.2,18.9
2018-06-03,15.1,18.9,11.3,78.0,28.6,18.7
2018-06-10,18.3,22.7,13.8,64.6,0.6,22.1
2018-06-17,20.8,25.8,16.1,66.4,5.8,20.9
2018-06-24,20.8,25.2,16.2,76.1,45.3,21.1
2018-07-01,25.1,30.6,20.5,72.3,16.9,21.7
2018-07-08,22.2,27.4,16.6,62.6,10.0,20.4
2018-07-15,22.3,26.6,18.1,74.9,19.4,18.9
2018-07-22,23.8,27.3,21.2,88.4,47.3,21.8
2018-07-29,24.2,28.2,20.8,80.9,24.9,17.9
2018-08-05,25.5,29.7,21.6,78.6,49.8,15.4
2018-08-12,23.5,26.6,20.7,88.4,36.0,18.7
2018-08-19,20.6,24.2,17.6,77.7,13.6,19.1
2018-08-26,24.2,28.9,19.6,71.6,1.4,19.4
2018-09-02,23.5,28.5,19.6,75.6,7.4,19.9
2018-09-09,18.4,20.4,16.6,85.6,68.1,17.3
2018-09-16,19.3,22.4,16.6,82.6,42.0,23.7
2018-09-23,16.1,19.6,13.3,81.3,52.8,21.3
2018-09-30,15.2,19.3,11.9,83.7,22.8,18.7
2018-10-07,16.9,20.4,13.7,85.3,28.0,22.6
2018-10-14,10.0,15.1,6.0,66.0,4.8,26.7
2018-10-21,6.1,9.4,2.5,72.3,54.4,26.7
2018-10-28,10.6,14.3,6.3,82.0,29.5,25.5
2018-11-04,9.1,12.2,6.1,73.0,58.6,26.6
2018-11-11,2.8,6.7,-0.3,66.3,63.0,26.6
2018-11-18,-0.4,3.5,-3.8,68.7,18.3,22.5
2018-11-25,3.9,6.4,1.2,80.1,42.8,27.0
2018-12-02,1.3,5.2,-1.8,66.9,17.6,20.9
2018-12-09,-0.3,4.1,-3.7,67.1,0.8,17.7
2018-12-16,3.7,8.0,-0.2,72.3,44.0,29.7
2018-12-23,1.7,5.1,-1.9,68.7,10.1,22.6
2018-12-30,1.6,5.5,-1.8,72.3,28.9,23.6
2019-01-06,-1.8,1.5,-5.5,60.7,7.1,28.5
2019-01-13,-2.9,0.8,-6.0,60.7,1.6,19.3
2019-01-20,-3.0,1.2,-8.3,65.6,78.0,31.4
2019-01-27,-4.6,0.0,-9.6,52.9,3.8,26.3
2019-02-03,2.6,7.3,-1.2,74.4,17.4,24.5
2019-02-10,0.0,4.3,-3.4,63.7,36.4,24.5
2019-02-17,-1.5,2.8,-5.1,65.7,27.5,20.4
2019-02-24,-2.3,1.3,-5.9,61.4,30.1,27.8
2019-03-03,-4.3,0.2,-8.9,68.4,29.1,22.4
2019-03-10,4.2,9.0,-0.1,70.6,20.9,24.9
2019-03-17,2.2,6.3,-1.4,62.6,23.7,25.1
2019-03-24,4.7,10.0,0.1,63.1,2.1,23.0
2019-03-31,6.1,11.9,0.8,60.6,21.5,28.2
2019-04-07,7.5,12.6,3.2,76.7,26.2,21.5
2019-04-14,12.4,16.9,8.3,73.6,31.3,30.6
2019-04-21,10.8,13.9,7.8,84.6,63.7,22.8
2019-04-28,8.8,12.0,5.6,78.0,11.1,16.8
2019-05-05,11.3,14.8,7.9,77.7,15.0,20.4
2019-05-12,10.4,13.7,6.9,79.1,33.2,20.0
2019-05-19,15.9,20.6,11.4,67.9,6.5,29.3
2019-05-26,15.0,18.9,11.4,82.3,31.3,19.8
2019-06-02,17.1,21.5,13.3,71.3,11.6,21.9
2019-06-09,17.5,22.0,12.9,71.3,51.1,23.4
2019-06-16,18.9,22.3,16.2,86.3,53.0,20.2
2019-06-23,21.1,25.1,17.4,79.7,17.1,17.9
2019-06-30,23.4,27.8,19.1,74.7,7.8,17.9
2019-07-07,22.9,27.2,18.8,72.6,40.6,19.6
2019-07-14,24.8,30.1,20.4,71.7,6.7,20.1
2019-07-21,22.6,26.1,18.9,78.3,56.8,18.8
2019-07-28,25.1,30.3,20.6,72.0,4.7,18.5
2019-08-04,22.8,26.9,19.1,72.1,9.9,19.8
2019-08-11,21.4,25.5,17.7,77.1,3.7,18.1
2019-08-18,23.6,27.7,20.1,74.0,13.2,19.2
2019-08-25,19.6,23.7,15.4,74.4,17.2,19.3
2019-09-01,18.6,22.1,15.1,78.9,22.7,24.6
2019-09-08,18.1,22.4,14.1,76.7,10.0,22.3
2019-09-15,16.9,21.5,13.0,70.0,1.5,17.0
2019-09-22,19.8,25.8,15.2,71.4,8.6,21.6
2019-09-29,14.4,17.8,10.7,73.1,8.0,23.0
2019-10-06,14.0,16.3,11.3,80.3,36.5,31.3
2019-10-13,11.6,16.0,8.2,75.6,45.1,27.1
2019-10-20,11.9,15.6,8.4,80.3,18.3,17.7
2019-10-27,11.9,15.3,9.0,82.0,38.9,26.2
2019-11-03,5.6,9.9,1.8,68.7,24.8,21.1
2019-11-10,1.8,6.5,-2.5,63.9,4.5,21.8
2019-11-17,3.8,7.2,0.7,78.1,20.5,23.8
2019-11-24,4.3,8.4,0.7,73.9,40.6,29.0
2019-12-01,-0.6,2.4,-3.9,79.7,54.6,26.9
2019-12-08,3.9,7.8,-0.9,81.0,86.7,26.2
2019-12-15,-1.8,1.9,-5.1,62.0,19.0,26.6
2019-12-22,2.5,7.4,-1.3,74.1,0.2,21.0
2019-12-29,3.4,5.7,1.3,79.7,40.0,23.5
