week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2017-12-31,-12.3,-7.7,-16.7,60.1,31.6,27.7
2018-01-07,-0.5,4.7,-7.4,75.1,33.1,24.7
2018-01-14,-3.2,0.8,-6.7,63.1,5.7,17.8
2018-01-21,0.9,5.4,-3.6,68.6,29.5,21.7
2018-01-28,-1.5,2.3,-6.2,64.4,17.1,22.9
2018-02-04,-0.2,5.3,-5.5,68.0,38.9,22.6
2018-02-11,3.6,8.4,-1.7,75.9,31.1,19.1
2018-02-18,6.4,11.6,1.4,78.3,22.3,22.3
2018-02-25,5.3,9.6,2.1,71.6,64.0,26.7
2018-03-04,1.2,3.7,-1.3,73.6,45.0,26.5
2018-03-11,-0.8,3.1,-4.9,72.3,41.9,28.3
2018-03-18,-2.0,2.7,-6.7,70.4,13.7,19.5
2018-03-25,4.4,9.5,-0.3,70.7,5.9,18.9
2018-04-01,3.9,9.2,-0.5,64.3,31.4,23.6
2018-04-08,5.2,10.0,0.4,67.3,8.0,20.1
2018-04-15,5.3,9.6,1.2,69.9,62.5,27.5
2018-04-22,10.8,16.4,5.2,70.1,41.9,19.3
2018-04-29,15.9,21.3,10.4,67.4,9.4,22.5
2018-05-06,13.2,17.4,9.3,77.0,8.0,19.4
2018-05-13,13.5,18.7,9.2,80.3,22.9,18.4
2018-05-20,18.7,24.9,12.1,72.0,20.7,20.4
2018-05-27,17.9,22.6,13.4,80.4,7.8,17.9
2018-06-03,15.2,19.2,10.9,77.3,25.6,17.7
2018-06-10,18.7,23.4,13.6,61.9,0.6,21.3
2018-06-17,21.4,26.9,16.0,61.4,7.6,20.3
2018-06-24,21.2,25.9,16.1,75.3,35.2,19.7
2018-07-01,25.6,31.7,20.3,69.3,7.8,20.7
2018-07-08,22.8,28.5,16.8,58.0,21.4,19.6
2018-07-15,22.4,27.2,17.8,73.6,28.7,18.5
2018-07-22,24.0,27.6,21.3,87.6,49.5,20.6
2018-07-29,24.3,28.5,20.6,79.9,23.2,17.0
2018-08-05,25.7,30.3,21.6,76.0,41.4,13.9
2018-08-12,23.6,26.7,20.6,87.4,34.5,17.2
2018-08-19,20.5,24.7,16.9,77.4,9.0,18.4
2018-08-26,24.3,29.3,19.2,70.7,1.7,18.6
2018-09-02,23.9,29.5,19.5,72.6,7.0,18.6
2018-09-09,18.5,21.0,16.6,84.3,69.3,17.1
2018-09-16,19.4,22.9,16.0,82.4,50.7,20.6
2018-09-23,16.0,19.8,12.8,80.4,69.1,19.9
2018-09-30,15.0,19.4,11.7,83.4,18.4,16.7
2018-10-07,17.0,20.6,13.3,84.9,25.4,21.2
2018-10-14,9.6,15.0,5.2,67.0,7.0,24.9
2018-10-21,5.8,9.4,1.9,72.3,48.0,25.4
2018-10-28,10.4,14.4,5.8,82.6,30.9,23.7
2018-11-04,8.8,12.1,5.1,72.3,58.7,24.9
2018-11-11,2.3,6.5,-1.0,67.1,64.4,24.5
2018-11-18,-0.9,3.0,-4.5,68.9,19.5,20.0
2018-11-25,3.7,6.6,0.9,80.3,45.3,26.3
2018-12-02,1.0,5.3,-2.5,66.9,21.6,19.4
2018-12-09,-0.8,4.0,-4.4,66.9,0.5,15.7
2018-12-16,3.5,8.3,-0.6,72.9,49.1,26.4
2018-12-23,1.4,5.4,-2.5,67.4,9.8,20.6
2018-12-30,1.4,5.6,-2.3,72.3,26.6,21.7
2019-01-06,-2.1,1.6,-5.8,59.9,8.4,26.2
2019-01-13,-3.2,0.8,-6.4,59.3,1.8,17.4
2019-01-20,-3.7,0.9,-9.7,65.9,73.1,28.4
2019-01-27,-4.9,-0.1,-10.4,50.4,3.8,24.7
2019-02-03,2.5,7.9,-1.6,73.4,18.6,21.7
2019-02-10,-0.2,4.3,-4.0,63.6,38.9,23.8
2019-02-17,-1.8,2.7,-5.6,65.6,25.7,17.3
2019-02-24,-2.6,1.0,-6.2,61.4,28.2,26.1
2019-03-03,-5.3,0.0,-11.2,68.1,25.3,19.8
2019-03-10,4.2,9.1,-1.3,71.4,25.2,24.0
2019-03-17,2.2,6.6,-1.9,60.9,21.0,23.8
2019-03-24,4.7,10.6,-0.6,61.3,2.3,20.7
2019-03-31,6.1,12.2,0.4,59.6,20.5,27.2
2019-04-07,7.6,12.9,3.0,75.0,24.1,20.3
2019-04-14,12.6,17.5,8.1,72.0,33.2,28.0
2019-04-21,11.0,14.5,7.5,82.6,62.3,21.7
2019-04-28,8.9,12.0,5.4,77.3,11.8,15.9
2019-05-05,11.6,15.6,7.5,76.3,14.0,19.7
2019-05-12,10.4,14.1,6.7,78.1,33.0,18.2
2019-05-19,16.3,21.5,11.4,67.3,7.1,27.5
2019-05-26,15.4,19.7,11.2,81.0,32.5,18.7
2019-06-02,17.4,21.8,13.0,70.4,7.6,20.5
2019-06-09,17.6,22.6,12.3,69.6,52.8,23.0
2019-06-16,19.3,22.7,16.5,85.0,54.4,18.5
2019-06-23,21.2,25.7,17.0,79.0,26.8,17.0
2019-06-30,23.6,28.7,18.7,73.7,15.6,17.4
2019-07-07,23.1,27.9,18.2,71.1,60.7,17.3
2019-07-14,25.1,30.8,20.0,69.7,7.2,18.2
2019-07-21,22.8,26.8,18.7,76.3,54.5,16.8
2019-07-28,25.3,31.3,20.2,68.9,5.9,17.4
2019-08-04,23.0,27.6,18.7,68.6,12.7,19.1
2019-08-11,21.8,26.0,17.8,74.0,4.8,18.5
2019-08-18,23.9,28.9,19.7,69.9,9.5,18.8
2019-08-25,19.8,24.7,15.0,71.1,26.4,18.5
2019-09-01,18.6,22.9,14.5,77.0,11.9,23.0
2019-09-08,18.1,22.9,13.5,74.9,9.4,20.9
2019-09-15,17.1,22.7,12.1,66.1,0.5,15.9
2019-09-22,20.4,27.2,14.9,67.3,8.1,20.5
2019-09-29,14.4,18.3,9.9,71.1,9.1,19.7
2019-10-06,13.9,16.5,10.9,79.1,30.4,26.6
2019-10-13,11.4,16.2,7.5,75.1,55.1,24.7
