week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2017-12-31,-12.6,-8.4,-16.6,61.6,30.4,28.7
2018-01-07,-0.6,4.7,-7.1,75.1,31.9,25.7
2018-01-14,-3.4,0.6,-6.9,63.1,5.6,18.3
2018-01-21,0.7,5.1,-3.7,68.0,28.6,22.2
2018-01-28,-1.6,2.2,-6.0,63.1,16.1,24.3
2018-02-04,-0.5,4.9,-5.9,67.7,40.1,23.0
2018-02-11,3.3,8.1,-2.0,75.6,30.9,19.8
2018-02-18,6.2,11.4,1.2,77.9,21.8,23.1
2018-02-25,5.2,9.3,2.0,71.3,60.4,27.2
2018-03-04,1.1,3.6,-1.3,73.1,45.2,26.4
2018-03-11,-0.8,2.9,-4.6,71.6,40.6,28.6
2018-03-18,-2.0,2.6,-6.4,69.0,12.3,20.1
2018-03-25,4.0,9.2,-0.7,70.7,6.1,19.0
2018-04-01,3.7,8.9,-0.5,63.7,34.7,23.9
2018-04-08,4.9,9.6,0.3,66.7,4.5,20.4
2018-04-15,5.0,9.3,1.0,69.3,56.4,28.0
2018-04-22,10.3,16.0,5.1,71.1,46.1,19.2
2018-04-29,15.6,21.0,10.3,68.0,12.2,22.7
2018-05-06,12.7,16.8,9.0,77.3,9.7,19.2
2018-05-13,13.3,18.3,9.0,79.9,26.0,18.5
2018-05-20,18.4,24.3,12.2,72.1,21.6,20.6
2018-05-27,17.5,22.1,13.2,81.3,7.6,17.9
2018-06-03,15.0,18.7,10.8,77.7,23.1,18.1
2018-06-10,18.3,22.9,13.5,63.0,0.7,21.4
2018-06-17,20.7,25.8,15.7,64.0,5.9,20.0
2018-06-24,20.6,25.0,16.0,77.6,39.7,20.1
2018-07-01,24.7,30.1,19.8,73.4,11.4,20.5
2018-07-08,21.8,27.2,16.6,62.9,20.1,20.0
2018-07-15,21.8,26.2,17.6,75.4,30.7,18.6
2018-07-22,23.8,27.2,21.2,88.0,51.0,20.0
2018-07-29,24.0,28.0,20.5,80.9,26.3,17.4
2018-08-05,25.3,29.7,21.5,77.1,37.8,14.0
2018-08-12,23.3,26.5,20.4,87.3,38.7,16.7
2018-08-19,20.4,24.5,16.8,77.1,9.2,17.8
2018-08-26,24.1,29.0,19.2,70.9,2.3,17.5
2018-09-02,23.5,28.8,19.4,73.0,6.1,18.1
2018-09-09,18.3,20.9,16.4,84.1,72.9,17.0
2018-09-16,19.2,22.7,16.1,82.1,52.4,20.9
2018-09-23,15.9,19.7,12.8,79.7,90.4,20.1
2018-09-30,14.8,19.0,11.5,83.0,18.4,16.6
2018-10-07,16.7,20.4,13.1,84.4,28.1,21.4
2018-10-14,9.6,14.7,5.4,65.9,8.1,25.0
2018-10-21,5.8,9.2,2.1,70.6,46.7,25.8
2018-10-28,10.2,14.1,5.8,82.7,32.6,24.5
2018-11-04,8.6,11.9,5.0,71.4,55.8,25.8
2018-11-11,2.2,6.2,-1.0,65.9,62.2,25.3
2018-11-18,-1.1,2.6,-4.6,68.1,19.6,20.6
2018-11-25,3.7,6.5,0.8,79.9,43.6,26.4
2018-12-02,0.8,5.1,-2.6,65.4,24.4,20.3
2018-12-09,-0.8,3.8,-4.5,64.6,0.4,16.3
2018-12-16,3.3,8.1,-0.7,72.4,46.0,26.5
2018-12-23,1.3,5.2,-2.7,65.7,9.7,21.4
2018-12-30,1.2,5.2,-2.4,71.4,23.3,22.4
