week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2017-12-31,-12.5,-8.2,-16.4,61.6,30.4,28.7
2018-01-07,-0.4,4.9,-7.0,75.1,31.9,25.7
2018-01-14,-3.2,0.8,-6.7,63.1,5.6,18.3
2018-01-21,0.8,5.2,-3.5,68.0,28.6,22.2
2018-01-28,-1.4,2.4,-5.8,63.3,16.1,24.3
2018-02-04,-0.4,5.1,-5.7,67.7,40.1,23.0
2018-02-11,3.4,8.2,-1.8,75.6,30.9,19.8
2018-02-18,6.4,11.6,1.4,77.9,21.8,23.1
2018-02-25,5.3,9.5,2.1,71.3,60.4,27.2
2018-03-04,1.3,3.8,-1.1,73.1,45.2,26.4
2018-03-11,-0.6,3.1,-4.4,71.6,40.6,28.6
2018-03-18,-1.8,2.7,-6.2,69.0,12.3,20.1
2018-03-25,4.1,9.4,-0.5,70.7,6.1,19.0
2018-04-01,3.9,9.1,-0.3,63.7,34.7,23.9
2018-04-08,5.1,9.8,0.5,66.9,4.5,20.4
2018-04-15,5.2,9.5,1.2,69.3,56.4,28.0
2018-04-22,10.5,16.1,5.3,71.1,46.1,19.2
2018-04-29,15.8,21.2,10.5,68.0,12.2,22.7
2018-05-06,12.8,17.0,9.2,77.4,9.7,19.2
2018-05-13,13.4,18.5,9.2,79.9,26.0,18.5
2018-05-20,18.6,24.4,12.4,72.1,21.6,20.6
2018-05-27,17.7,22.3,13.4,81.3,7.6,17.9
2018-06-03,15.1,18.9,10.9,77.7,23.1,18.1
2018-06-10,18.5,23.1,13.6,63.1,0.7,21.4
2018-06-17,20.8,26.0,15.9,64.3,5.9,20.0
2018-06-24,20.8,25.2,16.1,77.6,39.7,20.1
2018-07-01,24.9,30.3,20.0,73.4,11.4,20.5
2018-07-08,22.0,27.3,16.8,62.9,20.1,20.0
2018-07-15,21.9,26.4,17.8,75.4,30.7,18.6
2018-07-22,23.9,27.4,21.3,88.0,51.0,20.0
2018-07-29,24.1,28.2,20.7,80.9,26.3,17.4
2018-08-05,25.5,29.9,21.7,77.1,37.8,14.0
2018-08-12,23.5,26.6,20.5,87.3,38.7,16.7
2018-08-19,20.5,24.6,17.0,77.1,9.2,17.8
2018-08-26,24.3,29.2,19.4,70.9,2.3,17.5
2018-09-02,23.7,29.0,19.6,73.0,6.1,18.1
2018-09-09,18.5,21.0,16.6,84.1,72.9,17.0
2018-09-16,19.4,22.8,16.3,82.1,52.4,20.9
2018-09-23,16.0,19.8,13.0,79.7,90.4,20.1
2018-09-30,14.9,19.2,11.7,83.0,18.4,16.6
2018-10-07,16.8,20.5,13.2,84.4,28.1,21.4
2018-10-14,9.7,14.9,5.5,66.0,8.1,25.0
2018-10-21,6.0,9.3,2.2,70.7,46.7,25.8
2018-10-28,10.3,14.2,6.0,82.7,32.6,24.5
2018-11-04,8.7,12.0,5.2,71.4,55.8,25.8
2018-11-11,2.4,6.3,-0.8,66.0,62.2,25.3
2018-11-18,-0.9,2.8,-4.4,68.1,19.6,20.6
2018-11-25,3.9,6.7,1.0,79.9,43.6,26.4
2018-12-02,1.0,5.2,-2.4,65.4,24.4,20.3
2018-12-09,-0.7,4.0,-4.3,64.6,0.4,16.3
2018-12-16,3.5,8.2,-0.5,72.4,46.0,26.5
2018-12-23,1.4,5.4,-2.5,65.9,9.7,21.4
2018-12-30,1.4,5.4,-2.2,71.4,23.3,22.4
2019-01-06,-2.1,1.5,-5.9,59.3,7.7,27.4
2019-01-13,-3.2,0.8,-6.4,58.6,2.2,18.1
2019-01-20,-3.6,0.9,-9.2,65.7,70.9,28.9
2019-01-27,-4.8,0.0,-10.4,49.9,4.2,25.4
2019-02-03,2.5,7.8,-1.5,72.7,17.7,22.4
2019-02-10,-0.3,4.2,-3.9,62.9,37.1,24.8
2019-02-17,-2.4,1.8,-6.7,67.4,24.3,17.8
2019-02-24,-2.7,0.9,-6.5,60.9,25.2,26.8
2019-03-03,-4.9,0.1,-10.2,67.3,23.9,20.8
2019-03-10,4.1,9.0,-0.9,71.6,27.9,24.8
2019-03-17,2.1,6.3,-1.7,60.9,20.0,23.7
2019-03-24,4.6,10.3,-0.3,60.4,2.4,20.9
2019-03-31,6.0,12.0,0.6,58.9,20.5,27.2
2019-04-07,7.5,12.6,3.1,74.9,21.9,21.1
2019-04-14,12.4,17.5,8.0,72.0,34.2,27.8
2019-04-21,10.8,14.2,7.3,83.1,63.2,22.5
2019-04-28,8.7,12.0,5.4,77.4,11.6,16.4
2019-05-05,11.6,15.6,7.7,75.1,13.0,19.2
2019-05-12,10.3,14.0,6.7,78.4,29.0,18.1
2019-05-19,16.2,21.2,11.5,67.4,7.5,27.2
2019-05-26,15.1,19.5,11.1,81.3,33.3,19.2
2019-06-02,17.0,21.0,12.8,71.1,8.7,21.3
2019-06-09,17.5,22.1,12.6,69.9,54.3,22.9
2019-06-16,19.0,22.2,16.5,85.9,59.5,18.7
2019-06-23,20.7,24.9,16.9,79.9,25.9,17.9
2019-06-30,23.5,28.4,18.9,74.6,13.0,17.7
2019-07-07,23.0,27.4,18.4,71.0,57.6,18.0
2019-07-14,24.9,30.6,20.1,70.1,9.9,18.4
2019-07-21,22.7,26.7,18.7,76.7,49.8,16.7
2019-07-28,25.1,30.8,20.3,69.6,4.0,18.0
2019-08-04,22.7,27.1,18.7,69.7,15.8,19.2
2019-08-11,21.5,25.7,17.8,75.6,6.1,18.0
2019-08-18,23.6,28.4,19.7,72.1,11.0,18.8
2019-08-25,19.5,24.3,15.0,72.3,28.1,18.4
2019-09-01,18.4,22.7,14.6,77.7,11.7,22.5
2019-09-08,17.9,22.6,13.7,75.3,8.5,20.0
2019-09-15,16.9,22.3,12.2,67.3,0.9,16.1
2019-09-22,20.2,26.7,15.0,68.4,8.4,20.5
2019-09-29,14.4,18.2,9.9,71.7,10.0,19.5
2019-10-06,13.9,16.5,11.0,78.7,29.4,26.3
2019-10-13,11.4,16.0,7.7,75.0,49.0,26.9
2019-10-20,11.9,16.2,8.0,78.7,20.6,17.5
2019-10-27,11.8,15.3,8.6,81.9,43.9,24.7
2019-11-03,5.3,9.8,1.4,67.1,18.0,20.0
2019-11-10,1.3,6.3,-3.2,62.4,3.9,21.5
2019-11-17,3.3,6.7,0.2,77.7,17.0,21.3
2019-11-24,3.9,8.2,0.1,73.4,36.0,26.9
2019-12-01,-1.3,1.9,-5.1,77.9,52.8,23.7
2019-12-08,3.3,7.8,-2.5,80.7,92.3,24.0
2019-12-15,-2.9,1.1,-6.7,62.6,15.6,24.4
2019-12-22,2.2,7.1,-1.9,75.1,0.6,19.7
2019-12-29,3.3,5.8,0.9,79.1,41.9,22.6
2020-01-05,2.0,5.6,-1.9,66.9,3.4,27.0
2020-01-12,1.5,5.9,-2.8,68.6,11.1,25.0
