week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2017-12-31,-12.4,-7.8,-16.7,60.1,31.6,27.7
2018-01-07,-0.6,4.6,-7.5,75.1,33.1,24.7
2018-01-14,-3.3,0.7,-6.8,63.0,5.7,17.8
2018-01-21,0.8,5.3,-3.7,68.6,29.5,21.7
2018-01-28,-1.6,2.2,-6.2,64.4,17.1,22.9
2018-02-04,-0.3,5.2,-5.6,68.0,38.9,22.6
2018-02-11,3.5,8.4,-1.8,75.9,31.1,19.1
2018-02-18,6.3,11.6,1.3,78.3,22.3,22.3
2018-02-25,5.2,9.5,2.0,71.6,64.0,26.7
2018-03-04,1.1,3.6,-1.3,73.6,45.0,26.5
2018-03-11,-0.9,3.0,-5.0,72.3,41.9,28.3
2018-03-18,-2.1,2.6,-6.8,70.3,13.7,19.5
2018-03-25,4.3,9.4,-0.4,70.7,5.9,18.9
2018-04-01,3.8,9.1,-0.6,64.3,31.4,23.6
2018-04-08,5.1,9.9,0.3,67.3,8.0,20.1
2018-04-15,5.2,9.5,1.1,69.9,62.5,27.5
2018-04-22,10.7,16.3,5.1,70.1,41.9,19.3
2018-04-29,15.8,21.2,10.4,67.4,9.4,22.5
2018-05-06,13.1,17.4,9.3,77.0,8.0,19.4
2018-05-13,13.4,18.6,9.1,80.3,22.9,18.4
2018-05-20,18.6,24.9,12.1,72.0,20.7,20.4
2018-05-27,17.8,22.5,13.3,80.4,7.8,17.9
2018-06-03,15.1,19.1,10.8,77.1,25.6,17.7
2018-06-10,18.6,23.4,13.6,61.7,0.6,21.3
2018-06-17,21.3,26.8,15.9,61.4,7.6,20.3
2018-06-24,21.1,25.8,16.0,75.3,35.2,19.7
2018-07-01,25.5,31.6,20.2,69.3,7.8,20.7
2018-07-08,22.7,28.4,16.8,58.0,21.4,19.6
2018-07-15,22.3,27.1,17.8,73.6,28.7,18.5
2018-07-22,23.9,27.5,21.2,87.6,49.5,20.6
2018-07-29,24.2,28.5,20.6,79.9,23.2,17.0
2018-08-05,25.6,30.2,21.5,76.0,41.4,13.9
2018-08-12,23.5,26.7,20.5,87.4,34.5,17.2
2018-08-19,20.4,24.6,16.8,77.3,9.0,18.4
2018-08-26,24.2,29.3,19.1,70.7,1.7,18.6
2018-09-02,23.8,29.4,19.4,72.6,7.0,18.6
2018-09-09,18.4,20.9,16.5,84.3,69.3,17.1
2018-09-16,19.3,22.8,15.9,82.4,50.7,20.6
2018-09-23,15.9,19.7,12.7,80.4,69.1,19.9
2018-09-30,14.9,19.3,11.6,83.4,18.4,16.7
2018-10-07,16.9,20.5,13.3,84.9,25.4,21.2
2018-10-14,9.5,15.0,5.1,66.9,7.0,24.9
2018-10-21,5.7,9.3,1.8,72.3,48.0,25.4
2018-10-28,10.3,14.3,5.7,82.6,30.9,23.7
2018-11-04,8.7,12.1,5.0,72.3,58.7,24.9
2018-11-11,2.2,6.5,-1.1,67.1,64.4,24.5
2018-11-18,-1.0,2.9,-4.6,68.7,19.5,20.0
2018-11-25,3.6,6.6,0.8,80.3,45.3,26.3
2018-12-02,0.9,5.3,-2.6,66.7,21.6,19.4
2018-12-09,-0.9,4.0,-4.5,66.9,0.5,15.7
2018-12-16,3.4,8.2,-0.6,72.9,49.1,26.4
2018-12-23,1.3,5.3,-2.6,67.4,9.8,20.6
2018-12-30,1.3,5.5,-2.4,72.3,26.6,21.7
2019-01-06,-2.2,1.6,-5.9,59.9,8.4,26.2
2019-01-13,-3.3,0.7,-6.5,59.1,1.8,17.4
2019-01-20,-3.8,0.8,-9.8,65.9,73.1,28.4
2019-01-27,-5.0,-0.1,-10.4,50.4,3.8,24.7
2019-02-03,2.4,7.8,-1.7,73.4,18.6,21.7
2019-02-10,-0.3,4.2,-4.0,63.6,38.9,23.8
2019-02-17,-1.9,2.6,-5.7,65.6,25.7,17.3
2019-02-24,-2.6,0.9,-6.3,61.4,28.2,26.1
2019-03-03,-5.4,-0.0,-11.2,68.1,25.3,19.8
2019-03-10,4.1,9.0,-1.3,71.4,25.2,24.0
2019-03-17,2.1,6.5,-2.0,60.9,21.0,23.8
2019-03-24,4.6,10.5,-0.7,61.3,2.3,20.7
2019-03-31,6.0,12.1,0.3,59.6,20.5,27.2
2019-04-07,7.5,12.8,2.9,75.0,24.1,20.3
2019-04-14,12.5,17.4,8.0,72.0,33.2,28.0
2019-04-21,10.9,14.4,7.4,82.6,62.3,21.7
2019-04-28,8.8,11.9,5.3,77.3,11.8,15.9
2019-05-05,11.5,15.5,7.4,76.3,14.0,19.7
2019-05-12,10.3,14.0,6.6,78.1,33.0,18.2
2019-05-19,16.2,21.4,11.3,67.3,7.1,27.5
2019-05-26,15.3,19.6,11.1,81.0,32.5,18.7
2019-06-02,17.3,21.7,12.9,70.4,7.6,20.5
2019-06-09,17.5,22.5,12.2,69.4,52.8,23.0
2019-06-16,19.2,22.7,16.5,85.0,54.4,18.5
2019-06-23,21.1,25.6,16.9,79.0,26.8,17.0
2019-06-30,23.5,28.6,18.6,73.7,15.6,17.4
2019-07-07,23.0,27.8,18.2,71.1,60.7,17.3
2019-07-14,25.0,30.7,19.9,69.7,7.2,18.2
2019-07-21,22.7,26.8,18.6,76.3,54.5,16.8
2019-07-28,25.2,31.2,20.1,68.9,5.9,17.4
2019-08-04,22.9,27.5,18.7,68.6,12.7,19.1
2019-08-11,21.7,26.0,17.7,74.0,4.8,18.5
2019-08-18,23.8,28.8,19.6,69.9,9.5,18.8
2019-08-25,19.7,24.6,14.9,71.1,26.4,18.5
2019-09-01,18.5,22.8,14.4,77.0,11.9,23.0
2019-09-08,18.0,22.9,13.4,74.9,9.4,20.9
2019-09-15,17.0,22.6,12.0,66.1,0.5,15.9
2019-09-22,20.3,27.1,14.8,67.1,8.1,20.5
2019-09-29,14.3,18.2,9.8,71.1,9.1,19.7
2019-10-06,13.8,16.4,10.9,79.1,30.4,26.6
2019-10-13,11.3,16.1,7.4,75.1,55.1,24.7
2019-10-20,11.7,16.1,7.4,79.6,16.9,17.0
2019-10-27,11.8,15.5,8.4,81.7,40.3,23.5
2019-11-03,5.1,9.9,0.9,68.6,20.9,19.2
2019-11-10,1.1,6.3,-3.4,64.1,4.1,20.5
2019-11-17,3.3,6.7,0.1,78.1,17.7,20.7
2019-11-24,3.8,8.3,-0.1,74.0,35.9,26.5
2019-12-01,-1.6,1.8,-6.1,79.0,51.4,23.1
2019-12-08,2.9,7.6,-3.1,81.6,88.7,23.2
2019-12-15,-2.6,1.3,-6.3,61.9,15.5,23.0
2019-12-22,2.0,7.4,-2.7,75.4,0.3,18.9
2019-12-29,3.2,5.8,0.7,79.1,41.1,21.8
2020-01-05,1.9,5.7,-2.1,67.9,3.6,26.3
2020-01-12,1.5,5.8,-2.8,68.4,9.9,24.4
2020-01-19,-1.7,3.3,-5.7,66.0,17.9,18.7
2020-01-26,0.9,5.0,-2.6,69.6,0.6,16.8
2020-02-02,1.4,5.9,-2.3,75.9,19.9,23.6
2020-02-09,-0.6,3.5,-4.3,72.1,29.4,19.4
2020-02-16,-0.6,4.0,-5.1,57.6,6.0,20.7
2020-02-23,3.3,8.3,-0.9,65.1,15.5,20.9
2020-03-01,3.5,8.9,-1.2,60.3,6.5,26.6
2020-03-08,7.8,13.7,2.6,59.3,7.3,23.3
2020-03-15,4.6,9.4,-0.2,66.9,18.2,21.0
2020-03-22,3.9,8.3,-0.4,68.3,44.1,20.6
2020-03-29,4.5,6.7,2.4,83.7,67.7,25.7
2020-04-05,7.5,12.0,3.6,63.9,18.2,24.3
2020-04-12,7.0,11.2,2.5,62.6,44.5,27.6
2020-04-19,6.0,11.0,0.7,63.3,15.7,26.5
2020-04-26,7.9,11.4,4.6,77.7,51.9,26.6
2020-05-03,10.1,14.8,5.3,60.9,19.2,24.3
2020-05-10,11.1,17.5,4.8,61.3,11.9,25.0
2020-05-17,13.6,19.2,7.9,64.7,0.0,20.3
2020-05-24,18.8,24.4,14.0,73.6,2.7,22.7
2020-05-31,19.0,24.5,12.9,58.7,13.5,22.0
2020-06-07,19.4,23.9,15.3,62.1,12.5,21.8
2020-06-14,20.3,26.1,14.2,65.3,0.0,18.0
2020-06-21,24.5,30.2,19.2,62.3,3.8,20.1
2020-06-28,21.1,25.0,17.7,85.7,25.7,15.7
2020-07-05,23.3,27.6,19.3,81.9,13.1,20.1
2020-07-12,22.2,26.4,18.5,77.4,27.3,18.7
2020-07-19,26.1,32.0,21.6,67.7,6.7,17.2
2020-07-26,27.2,33.0,21.9,56.3,3.2,19.2
2020-08-02,25.5,30.4,21.2,61.7,9.6,23.4
2020-08-09,26.0,30.7,21.6,64.0,5.6,20.6
2020-08-16,21.5,26.7,17.0,69.1,17.2,17.7
2020-08-23,21.9,27.5,17.4,73.6,34.4,18.8
2020-08-30,20.1,24.5,15.9,72.7,18.2,17.9
2020-09-06,20.2,25.1,16.3,77.7,14.1,16.4
2020-09-13,16.5,21.5,11.5,63.4,0.7,20.8
2020-09-20,15.7,22.0,10.4,60.4,0.0,20.0
2020-09-27,18.9,23.6,14.6,75.6,7.0,21.7
2020-10-04,14.1,19.3,9.8,67.0,5.2,23.0
2020-10-11,13.2,17.9,9.7,75.9,90.7,24.0
2020-10-18,13.6,18.4,9.4,87.0,0.6,17.3
2020-10-25,6.3,9.8,3.0,79.1,46.1,19.1
2020-11-01,9.1,14.2,4.8,69.6,13.4,23.6
2020-11-08,12.4,17.7,8.0,81.9,11.6,17.8
2020-11-15,5.3,10.5,1.1,63.6,13.6,26.8
2020-11-22,6.9,11.2,2.4,78.9,38.5,19.2
2020-11-29,6.9,11.4,2.5,73.9,94.6,26.2
2020-12-06,0.5,4.2,-3.1,77.3,14.0,20.0
2020-12-13,-1.9,2.2,-5.9,70.6,39.8,21.3
2020-12-20,1.6,6.7,-3.8,80.1,48.4,21.9
2020-12-27,1.1,5.0,-3.2,69.7,13.8,22.2
2021-01-03,-0.5,2.4,-2.8,70.1,3.3,18.0
2021-01-10,0.7,5.2,-2.6,73.6,31.1,16.4
2021-01-17,-0.3,3.9,-3.9,61.1,1.1,22.4
2021-01-24,-5.1,-1.5,-8.5,60.4,11.1,22.0
2021-01-31,-2.2,1.7,-7.1,78.0,35.8,26.1
2021-02-07,-6.5,-1.3,-12.3,71.6,16.7,15.9
2021-02-14,-1.6,1.0,-4.2,76.9,30.1,18.1
2021-02-21,0.7,6.3,-5.4,70.3,15.1,23.4
2021-02-28,-0.7,4.0,-5.5,56.0,6.5,26.4
2021-03-07,3.9,9.9,-2.2,56.0,0.5,21.7
2021-03-14,0.7,6.7,-4.6,50.7,15.3,24.5
2021-03-21,9.3,15.5,3.4,77.6,5.7,19.1
2021-03-28,6.3,11.7,1.0,65.4,46.6,27.5
2021-04-04,9.4,15.4,4.1,68.1,0.1,19.1
2021-04-11,6.7,9.6,4.3,82.3,52.8,24.8
2021-04-18,9.7,16.4,3.0,60.0,4.1,26.7
2021-04-25,10.0,14.5,6.2,68.4,39.2,22.5
2021-05-02,10.9,14.9,7.7,72.3,36.9,20.6
2021-05-09,13.3,18.9,7.3,56.0,10.4,19.0
2021-05-16,18.9,25.3,12.5,49.7,1.3,20.7
2021-05-23,17.9,23.8,12.9,59.1,51.0,24.8
2021-05-30,17.5,22.2,12.8,77.3,43.4,21.6
2021-06-06,22.6,27.2,18.1,67.9,33.4,17.1
2021-06-13,20.2,26.1,14.6,65.0,12.5,19.5
2021-06-20,21.6,27.4,16.6,72.3,14.6,22.5
2021-06-27,24.5,29.5,20.3,74.0,86.8,21.7
2021-07-04,20.5,24.4,16.8,84.7,79.8,18.9
2021-07-11,21.8,25.2,18.4,87.3,42.0,15.9
2021-07-18,21.4,25.5,17.7,81.0,16.9,14.7
2021-07-25,21.5,26.2,17.1,72.9,15.7,22.1
2021-08-01,21.0,25.7,16.3,76.0,30.2,15.2
2021-08-08,25.1,30.0,21.3,78.6,14.2,15.8
