week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2017-12-31,-11.9,-7.6,-15.8,58.1,32.1,25.6
2018-01-07,-0.4,5.0,-7.2,75.6,34.5,24.9
2018-01-14,-3.3,0.8,-7.0,62.6,5.5,15.9
2018-01-21,0.8,5.4,-3.6,68.1,29.1,20.3
2018-01-28,-1.5,2.4,-6.0,63.3,18.2,21.8
2018-02-04,-0.3,5.4,-5.6,67.3,38.3,21.5
2018-02-11,3.6,8.7,-1.9,74.6,35.9,18.4
2018-02-18,6.5,11.9,1.1,77.1,22.3,21.2
2018-02-25,5.3,9.6,2.0,70.7,62.6,24.8
2018-03-04,1.1,3.6,-1.5,72.7,46.7,25.4
2018-03-11,-0.8,3.1,-5.0,71.3,42.7,26.9
2018-03-18,-2.2,2.8,-7.1,69.6,14.7,18.0
2018-03-25,4.4,9.9,-0.5,69.6,7.0,18.0
2018-04-01,3.8,9.2,-0.7,63.1,28.8,22.4
2018-04-08,5.2,10.6,0.2,65.0,5.6,18.8
2018-04-15,5.2,9.7,0.9,69.4,55.9,24.8
2018-04-22,11.0,17.1,5.2,67.9,39.9,17.8
2018-04-29,16.0,21.4,10.5,65.7,8.2,21.4
2018-05-06,13.6,18.3,9.3,75.3,7.6,17.5
2018-05-13,13.5,18.8,8.9,80.7,18.3,17.2
2018-05-20,18.8,25.3,12.1,70.7,19.1,19.0
2018-05-27,18.1,23.1,13.3,80.0,6.7,16.3
2018-06-03,15.1,19.4,10.6,77.4,21.1,15.7
2018-06-10,18.5,23.4,13.3,62.1,0.6,19.7
2018-06-17,21.4,27.4,15.8,62.1,7.0,18.0
2018-06-24,21.3,26.6,15.8,73.6,40.4,17.6
2018-07-01,26.0,32.4,20.3,68.3,13.8,19.2
2018-07-08,22.8,29.1,16.4,57.6,18.3,16.1
2018-07-15,22.7,28.2,17.7,72.4,27.7,16.5
2018-07-22,23.8,27.5,21.1,87.9,56.8,19.7
2018-07-29,24.2,28.8,20.3,79.0,26.6,15.4
2018-08-05,25.6,30.4,21.3,75.7,47.3,13.0
2018-08-12,23.5,27.1,20.4,87.3,40.2,16.6
2018-08-19,20.3,24.6,16.6,77.0,8.1,17.3
2018-08-26,24.2,29.2,19.1,71.1,1.3,17.0
2018-09-02,23.6,29.3,19.2,74.0,5.8,16.3
2018-09-09,18.4,21.1,16.3,84.4,60.8,14.6
2018-09-16,19.2,22.9,15.8,82.1,43.6,19.6
2018-09-23,15.8,19.6,12.5,80.7,58.4,18.6
2018-09-30,14.9,19.7,11.3,83.1,20.5,15.7
2018-10-07,16.9,20.4,13.4,84.4,25.1,19.5
2018-10-14,9.5,15.0,4.9,65.6,5.0,22.8
2018-10-21,5.6,9.4,1.6,71.6,47.9,22.9
2018-10-28,10.4,14.6,5.6,82.0,32.0,22.8
2018-11-04,8.6,12.2,4.9,71.9,56.5,22.5
2018-11-11,2.2,6.3,-1.2,66.0,58.9,21.7
2018-11-18,-1.1,3.1,-4.8,67.9,17.3,18.2
2018-11-25,3.5,6.5,0.7,80.3,42.2,23.5
2018-12-02,0.9,5.3,-2.9,64.9,18.1,18.0
2018-12-09,-1.0,4.1,-4.7,65.9,0.7,15.3
2018-12-16,3.4,8.2,-0.7,71.9,52.0,24.4
2018-12-23,1.3,5.4,-2.7,66.1,10.4,19.1
2018-12-30,1.3,5.7,-2.4,71.3,29.2,20.3
2019-01-06,-2.2,1.6,-5.9,59.1,7.2,23.6
2019-01-13,-3.3,0.6,-6.7,59.1,1.5,15.5
2019-01-20,-3.8,0.9,-10.0,65.0,76.2,26.1
2019-01-27,-5.1,-0.1,-10.6,49.4,4.0,22.3
2019-02-03,2.5,8.0,-1.7,73.4,18.3,20.5
2019-02-10,-0.2,4.4,-4.1,61.9,32.7,21.8
